"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Input times","["2023-01-02T21:18:00.000", "2023-01-03T21:36:00.000", ... , "2042-12-30T01:12:00.000", "2042-12-31T02:18:00.000"], items=4496"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2023-04-24 14:12:00.000000 UTC","2460059.0916666670 JD UTC"
"2023-04-25 15:24:00.000000 UTC","2460060.1416666666 JD UTC"
"2023-04-26 16:42:00.000000 UTC","2460061.1958333333 JD UTC"
"2023-04-27 18:12:00.000000 UTC","2460062.2583333333 JD UTC"
"2023-04-28 19:36:00.000000 UTC","2460063.3166666670 JD UTC"
"2023-05-04 10:54:00.000000 UTC","2460068.9541666666 JD UTC"
"2023-05-05 11:00:00.000000 UTC","2460069.9583333335 JD UTC"
"2023-05-06 11:18:00.000000 UTC","2460070.9708333330 JD UTC"
"2023-05-07 11:54:00.000000 UTC","2460071.9958333330 JD UTC"
"2023-05-08 12:36:00.000000 UTC","2460073.0250000000 JD UTC"
"2023-05-09 13:24:00.000000 UTC","2460074.0583333330 JD UTC"
"2023-05-10 14:30:00.000000 UTC","2460075.1041666665 JD UTC"
"2023-05-11 15:36:00.000000 UTC","2460076.1500000000 JD UTC"
"2023-05-12 16:48:00.000000 UTC","2460077.2000000000 JD UTC"
"2023-05-13 18:06:00.000000 UTC","2460078.2541666670 JD UTC"
"2023-05-14 19:36:00.000000 UTC","2460079.3166666670 JD UTC"
"2023-05-17 09:54:00.000000 UTC","2460081.9125000000 JD UTC"
"2023-05-18 10:12:00.000000 UTC","2460082.9250000000 JD UTC"
"2023-05-19 10:42:00.000000 UTC","2460083.9458333333 JD UTC"
"2023-05-20 11:18:00.000000 UTC","2460084.9708333330 JD UTC"
"2023-05-21 11:54:00.000000 UTC","2460085.9958333330 JD UTC"
"2023-05-22 12:42:00.000000 UTC","2460087.0291666670 JD UTC"
"2023-05-23 13:36:00.000000 UTC","2460088.0666666670 JD UTC"
"2023-05-24 14:36:00.000000 UTC","2460089.1083333334 JD UTC"
"2023-05-25 15:48:00.000000 UTC","2460090.1583333330 JD UTC"
"2023-05-26 17:12:00.000000 UTC","2460091.2166666670 JD UTC"
"2023-06-01 09:54:00.000000 UTC","2460096.9125000000 JD UTC"
"2023-06-02 09:54:00.000000 UTC","2460097.9125000000 JD UTC"
"2023-06-03 10:12:00.000000 UTC","2460098.9250000000 JD UTC"
"2023-06-04 10:42:00.000000 UTC","2460099.9458333333 JD UTC"
"2023-06-05 11:24:00.000000 UTC","2460100.9750000000 JD UTC"
"2023-06-06 12:12:00.000000 UTC","2460102.0083333333 JD UTC"
"2023-06-07 13:06:00.000000 UTC","2460103.0458333334 JD UTC"
"2023-06-08 14:06:00.000000 UTC","2460104.0875000000 JD UTC"
"2023-06-09 15:18:00.000000 UTC","2460105.1375000000 JD UTC"
"2023-06-10 16:42:00.000000 UTC","2460106.1958333333 JD UTC"
"2023-06-14 09:12:00.000000 UTC","2460109.8833333333 JD UTC"
"2023-06-15 09:24:00.000000 UTC","2460110.8916666666 JD UTC"
"2023-06-16 09:54:00.000000 UTC","2460111.9125000000 JD UTC"
"2023-06-17 10:24:00.000000 UTC","2460112.9333333330 JD UTC"
"2023-06-18 11:06:00.000000 UTC","2460113.9625000000 JD UTC"
"2023-06-19 11:42:00.000000 UTC","2460114.9875000000 JD UTC"
"2023-06-20 12:30:00.000000 UTC","2460116.0208333335 JD UTC"
"2023-06-21 13:18:00.000000 UTC","2460117.0541666667 JD UTC"
"2023-06-22 14:12:00.000000 UTC","2460118.0916666670 JD UTC"
"2023-06-23 15:18:00.000000 UTC","2460119.1375000000 JD UTC"
"2023-06-30 09:06:00.000000 UTC","2460125.8791666670 JD UTC"
"2023-07-01 09:24:00.000000 UTC","2460126.8916666666 JD UTC"
"2023-07-02 09:48:00.000000 UTC","2460127.9083333330 JD UTC"
"2023-07-03 10:30:00.000000 UTC","2460128.9375000000 JD UTC"
"2023-07-04 11:12:00.000000 UTC","2460129.9666666670 JD UTC"
"2023-07-05 12:00:00.000000 UTC","2460131.0000000000 JD UTC"
"2023-07-06 13:00:00.000000 UTC","2460132.0416666665 JD UTC"
"2023-07-07 14:00:00.000000 UTC","2460133.0833333335 JD UTC"
"2023-07-08 15:18:00.000000 UTC","2460134.1375000000 JD UTC"
"2023-07-13 08:48:00.000000 UTC","2460138.8666666667 JD UTC"
"2023-07-14 09:18:00.000000 UTC","2460139.8875000000 JD UTC"
"2023-07-15 09:48:00.000000 UTC","2460140.9083333330 JD UTC"
"2023-07-16 10:24:00.000000 UTC","2460141.9333333330 JD UTC"
"2023-07-17 11:06:00.000000 UTC","2460142.9625000000 JD UTC"
"2023-07-18 11:42:00.000000 UTC","2460143.9875000000 JD UTC"
"2023-07-19 12:24:00.000000 UTC","2460145.0166666666 JD UTC"
"2023-07-20 13:12:00.000000 UTC","2460146.0500000000 JD UTC"
"2023-07-21 14:06:00.000000 UTC","2460147.0875000000 JD UTC"
"2023-07-28 09:06:00.000000 UTC","2460153.8791666670 JD UTC"
"2023-07-29 08:42:00.000000 UTC","2460154.8625000000 JD UTC"
"2023-07-30 09:00:00.000000 UTC","2460155.8750000000 JD UTC"
"2023-07-31 09:36:00.000000 UTC","2460156.9000000000 JD UTC"
"2023-08-01 10:18:00.000000 UTC","2460157.9291666667 JD UTC"
"2023-08-02 11:06:00.000000 UTC","2460158.9625000000 JD UTC"
"2023-08-03 12:00:00.000000 UTC","2460160.0000000000 JD UTC"
"2023-08-04 13:00:00.000000 UTC","2460161.0416666665 JD UTC"
"2023-08-05 14:18:00.000000 UTC","2460162.0958333330 JD UTC"
"2023-08-10 08:42:00.000000 UTC","2460166.8625000000 JD UTC"
"2023-08-11 08:42:00.000000 UTC","2460167.8625000000 JD UTC"
"2023-08-12 09:18:00.000000 UTC","2460168.8875000000 JD UTC"
"2023-08-13 09:54:00.000000 UTC","2460169.9125000000 JD UTC"
"2023-08-14 10:30:00.000000 UTC","2460170.9375000000 JD UTC"
"2023-08-15 11:06:00.000000 UTC","2460171.9625000000 JD UTC"
"2023-08-16 11:48:00.000000 UTC","2460172.9916666667 JD UTC"
"2023-08-17 12:36:00.000000 UTC","2460174.0250000000 JD UTC"
"2023-08-26 08:00:00.000000 UTC","2460182.8333333335 JD UTC"
"2023-08-27 08:12:00.000000 UTC","2460183.8416666670 JD UTC"
"2023-08-28 08:48:00.000000 UTC","2460184.8666666667 JD UTC"
"2023-08-29 09:30:00.000000 UTC","2460185.8958333335 JD UTC"
"2023-08-30 10:12:00.000000 UTC","2460186.9250000000 JD UTC"
"2023-08-31 11:06:00.000000 UTC","2460187.9625000000 JD UTC"
"2023-09-01 12:06:00.000000 UTC","2460189.0041666670 JD UTC"
"2023-09-02 13:42:00.000000 UTC","2460190.0708333333 JD UTC"
"2023-09-09 08:54:00.000000 UTC","2460196.8708333330 JD UTC"
"2023-09-10 09:24:00.000000 UTC","2460197.8916666666 JD UTC"
"2023-09-11 10:06:00.000000 UTC","2460198.9208333334 JD UTC"
"2023-09-12 10:48:00.000000 UTC","2460199.9500000000 JD UTC"
"2023-09-13 11:42:00.000000 UTC","2460200.9875000000 JD UTC"
"2023-09-23 06:54:00.000000 UTC","2460210.7875000000 JD UTC"
"2023-09-24 07:12:00.000000 UTC","2460211.8000000000 JD UTC"
"2023-09-25 07:48:00.000000 UTC","2460212.8250000000 JD UTC"
"2023-09-26 08:36:00.000000 UTC","2460213.8583333334 JD UTC"
"2023-09-27 09:24:00.000000 UTC","2460214.8916666666 JD UTC"
"2023-09-28 10:24:00.000000 UTC","2460215.9333333330 JD UTC"
"2023-09-29 11:42:00.000000 UTC","2460216.9875000000 JD UTC"
"2023-10-01 00:36:00.000000 UTC","2460218.5250000000 JD UTC"
"2023-10-02 01:06:00.000000 UTC","2460219.5458333334 JD UTC"
"2023-10-03 01:54:00.000000 UTC","2460220.5791666666 JD UTC"
"2023-10-04 02:54:00.000000 UTC","2460221.6208333330 JD UTC"
"2023-10-05 04:24:00.000000 UTC","2460222.6833333330 JD UTC"
"2023-10-17 01:06:00.000000 UTC","2460234.5458333334 JD UTC"
"2023-10-18 01:30:00.000000 UTC","2460235.5625000000 JD UTC"
"2023-10-19 02:12:00.000000 UTC","2460236.5916666670 JD UTC"
"2023-10-20 03:12:00.000000 UTC","2460237.6333333333 JD UTC"
"2023-10-21 04:18:00.000000 UTC","2460238.6791666667 JD UTC"
"2023-10-22 05:30:00.000000 UTC","2460239.7291666665 JD UTC"
"2023-10-23 06:30:00.000000 UTC","2460240.7708333335 JD UTC"
"2023-10-24 07:36:00.000000 UTC","2460241.8166666670 JD UTC"
"2023-10-25 08:48:00.000000 UTC","2460242.8666666667 JD UTC"
"2023-10-27 22:42:00.000000 UTC","2460245.4458333333 JD UTC"
"2023-10-28 23:00:00.000000 UTC","2460246.4583333335 JD UTC"
"2023-10-29 23:30:00.000000 UTC","2460247.4791666665 JD UTC"
"2023-10-31 00:06:00.000000 UTC","2460248.5041666670 JD UTC"
"2023-11-01 01:00:00.000000 UTC","2460249.5416666665 JD UTC"
"2023-11-02 02:00:00.000000 UTC","2460250.5833333335 JD UTC"
"2023-11-03 03:12:00.000000 UTC","2460251.6333333333 JD UTC"
"2023-11-04 04:54:00.000000 UTC","2460252.7041666666 JD UTC"
"2023-11-11 23:18:00.000000 UTC","2460260.4708333330 JD UTC"
"2023-11-12 23:06:00.000000 UTC","2460261.4625000000 JD UTC"
"2023-11-13 23:18:00.000000 UTC","2460262.4708333330 JD UTC"
"2023-11-14 23:48:00.000000 UTC","2460263.4916666667 JD UTC"
"2023-11-16 00:30:00.000000 UTC","2460264.5208333335 JD UTC"
"2023-11-17 01:18:00.000000 UTC","2460265.5541666667 JD UTC"
"2023-11-18 02:18:00.000000 UTC","2460266.5958333330 JD UTC"
"2023-11-19 03:24:00.000000 UTC","2460267.6416666666 JD UTC"
"2023-11-20 04:42:00.000000 UTC","2460268.6958333333 JD UTC"
"2023-11-21 06:18:00.000000 UTC","2460269.7625000000 JD UTC"
"2023-11-24 21:42:00.000000 UTC","2460273.4041666670 JD UTC"
"2023-11-25 21:54:00.000000 UTC","2460274.4125000000 JD UTC"
"2023-11-26 22:24:00.000000 UTC","2460275.4333333330 JD UTC"
"2023-11-27 23:00:00.000000 UTC","2460276.4583333335 JD UTC"
"2023-11-28 23:42:00.000000 UTC","2460277.4875000000 JD UTC"
"2023-11-30 00:30:00.000000 UTC","2460278.5208333335 JD UTC"
"2023-12-01 01:24:00.000000 UTC","2460279.5583333330 JD UTC"
"2023-12-02 02:30:00.000000 UTC","2460280.6041666665 JD UTC"
"2023-12-03 04:00:00.000000 UTC","2460281.6666666665 JD UTC"
"2023-12-09 22:30:00.000000 UTC","2460288.4375000000 JD UTC"
"2023-12-10 22:00:00.000000 UTC","2460289.4166666665 JD UTC"
