"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-06 08:17:58.410835 UTC to 1980-01-06 08:17:58.410835 UTC", ... , "2080-12-19 12:52:50.486181 UTC to 2080-12-19 12:52:50.486181 UTC"], items=2711"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1982-12-30 04:56:00.516512 UTC","2445333.7055615336 JD UTC"
"1983-01-12 13:26:07.816984 UTC","2445347.0598126967 JD UTC"
"1983-01-26 15:27:31.675117 UTC","2445361.1441166103 JD UTC"
"1983-02-08 17:36:25.260953 UTC","2445374.2336257054 JD UTC"
"1983-02-22 22:02:57.250001 UTC","2445388.4187181713 JD UTC"
"1983-03-07 20:07:02.410717 UTC","2445401.3382223463 JD UTC"
"1983-03-22 00:10:10.829440 UTC","2445415.5070697850 JD UTC"
"1983-04-03 22:43:28.388584 UTC","2445428.4468563492 JD UTC"
"1983-04-18 01:25:10.611429 UTC","2445442.5591505950 JD UTC"
"1983-05-01 03:13:26.194015 UTC","2445455.6343309493 JD UTC"
"1983-05-15 05:43:57.335076 UTC","2445469.7388580450 JD UTC"
"1983-05-28 09:28:30.144762 UTC","2445482.8947933423 JD UTC"
"1983-06-11 13:49:46.144529 UTC","2445497.0762285246 JD UTC"
"1983-06-24 15:51:16.645372 UTC","2445510.1606093210 JD UTC"
"1983-07-08 23:36:04.265543 UTC","2445524.4833827033 JD UTC"
"1983-07-21 20:42:51.145925 UTC","2445537.3630919666 JD UTC"
"1983-08-05 07:58:22.759046 UTC","2445551.8322078595 JD UTC"
"1983-08-17 23:30:05.697849 UTC","2445564.4792326140 JD UTC"
"1983-09-01 12:42:34.011565 UTC","2445579.0295603190 JD UTC"
"1983-09-14 01:27:33.543993 UTC","2445591.5608049070 JD UTC"
"1983-09-28 14:17:35.226390 UTC","2445606.0955466020 JD UTC"
"1983-10-11 05:01:55.148049 UTC","2445618.7096660654 JD UTC"
"1983-10-25 16:08:30.149681 UTC","2445633.1725711767 JD UTC"
"1983-11-07 11:30:48.705168 UTC","2445645.9797303840 JD UTC"
"1983-11-21 21:29:28.448284 UTC","2445660.3954681517 JD UTC"
"1983-12-04 19:31:53.605177 UTC","2445673.3138148747 JD UTC"
"1983-12-19 06:20:35.991275 UTC","2445687.7643054547 JD UTC"
"1984-01-01 02:12:17.848961 UTC","2445700.5918732520 JD UTC"
"1984-01-15 15:40:53.006968 UTC","2445715.1533912844 JD UTC"
"1984-01-28 05:37:06.387915 UTC","2445727.7341017120 JD UTC"
"1984-02-11 21:58:54.642084 UTC","2445742.4159102095 JD UTC"
"1984-02-24 06:55:28.253286 UTC","2445754.7885214500 JD UTC"
"1984-03-10 00:25:44.779595 UTC","2445769.5178793934 JD UTC"
"1984-03-22 09:42:45.795035 UTC","2445781.9046967020 JD UTC"
"1984-04-06 01:52:06.123149 UTC","2445796.5778486477 JD UTC"
"1984-04-18 16:08:04.232232 UTC","2445809.1722712065 JD UTC"
"1984-05-03 05:31:56.590256 UTC","2445823.7305160910 JD UTC"
"1984-05-16 00:55:54.491966 UTC","2445836.5388251385 JD UTC"
"1984-05-30 12:04:19.668355 UTC","2445851.0030054210 JD UTC"
"1984-06-12 09:13:06.392433 UTC","2445863.8841017643 JD UTC"
"1984-06-26 19:52:55.714311 UTC","2445878.3284226195 JD UTC"
"1984-07-09 14:40:26.753617 UTC","2445891.1114207595 JD UTC"
"1984-07-24 02:36:52.982737 UTC","2445905.6089465595 JD UTC"
"1984-08-05 16:58:18.748453 UTC","2445918.2071614405 JD UTC"
"1984-08-20 06:42:17.637822 UTC","2445932.7793708080 JD UTC"
"1984-09-01 18:25:37.754484 UTC","2445945.2677980843 JD UTC"
"1984-09-16 08:43:11.434121 UTC","2445959.8633267838 JD UTC"
"1984-09-28 22:31:30.321849 UTC","2445972.4385453920 JD UTC"
"1984-10-13 11:05:11.439446 UTC","2445986.9619379565 JD UTC"
"1984-10-26 06:41:10.632771 UTC","2445999.7785952870 JD UTC"
"1984-11-09 15:45:32.726526 UTC","2446014.1566287790 JD UTC"
"1984-11-22 16:54:32.254502 UTC","2446027.2045399826 JD UTC"
"1984-12-06 22:28:42.237709 UTC","2446041.4365999736 JD UTC"
"1984-12-20 01:23:14.914660 UTC","2446054.5578115120 JD UTC"
"1985-01-03 05:08:17.898931 UTC","2446068.7140960526 JD UTC"
"1985-01-16 05:27:14.436301 UTC","2446081.7272504200 JD UTC"
"1985-01-30 09:38:14.951271 UTC","2446095.9015619360 JD UTC"
"1985-02-12 06:24:56.089479 UTC","2446108.7673158506 JD UTC"
"1985-02-26 12:04:24.874948 UTC","2446123.0030656825 JD UTC"
"1985-03-11 08:55:13.799959 UTC","2446135.8716874993 JD UTC"
"1985-03-25 14:37:34.012110 UTC","2446150.1094214367 JD UTC"
"1985-04-07 15:54:01.800668 UTC","2446163.1625208410 JD UTC"
"1985-04-21 18:51:01.045567 UTC","2446177.2854287680 JD UTC"
"1985-05-05 02:02:23.838656 UTC","2446190.5849981327 JD UTC"
"1985-05-19 00:24:00.490784 UTC","2446204.5166723470 JD UTC"
"1985-06-01 11:54:21.953481 UTC","2446217.9960874245 JD UTC"
"1985-06-15 05:54:31.918569 UTC","2446231.7462027613 JD UTC"
"1985-06-28 18:32:25.607197 UTC","2446245.2725186017 JD UTC"
"1985-07-12 10:10:49.607375 UTC","2446258.9241852704 JD UTC"
"1985-07-25 21:14:32.565564 UTC","2446272.3850991386 JD UTC"
"1985-08-08 13:08:04.340705 UTC","2446286.0472724620 JD UTC"
"1985-08-21 22:26:59.000577 UTC","2446299.4354050993 JD UTC"
"1985-09-04 16:00:03.812431 UTC","2446313.1667107920 JD UTC"
"1985-09-18 02:06:03.308100 UTC","2446326.5875382880 JD UTC"
"1985-10-01 20:07:20.840172 UTC","2446340.3384356503 JD UTC"
"1985-10-15 10:07:43.865612 UTC","2446353.9220354820 JD UTC"
"1985-10-29 01:33:06.786339 UTC","2446367.5646618790 JD UTC"
"1985-11-11 20:54:48.127242 UTC","2446381.3713903620 JD UTC"
"1985-11-25 07:01:29.201206 UTC","2446394.7926990880 JD UTC"
"1985-12-09 06:34:17.243551 UTC","2446408.7738106893 JD UTC"
"1985-12-22 11:04:37.384782 UTC","2446421.9615438054 JD UTC"
"1986-01-05 11:44:47.823660 UTC","2446435.9894424034 JD UTC"
"1986-01-18 13:36:37.086089 UTC","2446449.0670959037 JD UTC"
"1986-02-01 12:57:52.804065 UTC","2446463.0401944914 JD UTC"
"1986-02-14 16:26:46.760130 UTC","2446476.1852634274 JD UTC"
"1986-02-28 14:48:23.821476 UTC","2446490.1169423780 JD UTC"
"1986-03-13 21:13:40.278174 UTC","2446503.3844939605 JD UTC"
"1986-03-27 20:50:55.358804 UTC","2446517.3686962826 JD UTC"
"1986-04-10 03:25:57.912285 UTC","2446530.6430313922 JD UTC"
"1986-04-24 06:26:42.605476 UTC","2446544.7685486744 JD UTC"
"1986-05-07 09:15:02.494431 UTC","2446557.8854455375 JD UTC"
"1986-05-21 16:23:43.463486 UTC","2446572.1831419384 JD UTC"
"1986-06-03 13:18:10.625597 UTC","2446585.0542896483 JD UTC"
"1986-06-17 23:32:27.904138 UTC","2446599.4808785203 JD UTC"
"1986-06-30 15:40:55.484599 UTC","2446612.1534199608 JD UTC"
"1986-07-15 02:45:52.740597 UTC","2446626.6151937568 JD UTC"
"1986-07-27 18:04:44.836807 UTC","2446639.2532967220 JD UTC"
"1986-08-11 04:02:27.780012 UTC","2446653.6683770833 JD UTC"
"1986-08-23 22:27:44.496188 UTC","2446666.4359316686 JD UTC"
"1986-09-07 06:58:33.457858 UTC","2446680.7906650216 JD UTC"
"1986-09-20 05:10:42.633313 UTC","2446693.7157712188 JD UTC"
"1986-10-04 13:38:31.937374 UTC","2446708.0684252010 JD UTC"
"1986-10-17 12:34:54.562164 UTC","2446721.0242426177 JD UTC"
"1986-10-31 23:04:16.659203 UTC","2446735.4613039260 JD UTC"
"1986-11-13 18:17:00.921757 UTC","2446748.2618162240 JD UTC"
"1986-11-28 08:03:15.401078 UTC","2446762.8355949200 JD UTC"
"1986-12-10 21:01:58.715587 UTC","2446775.3763740230 JD UTC"
"1986-12-25 13:23:46.997039 UTC","2446790.0581828360 JD UTC"
"1987-01-06 22:26:05.818333 UTC","2446802.4347895640 JD UTC"
"1987-01-21 15:03:59.834939 UTC","2446817.1277758675 JD UTC"
"1987-02-03 02:01:48.755689 UTC","2446829.5845920797 JD UTC"
"1987-02-17 16:44:29.430210 UTC","2446844.1975628496 JD UTC"
"1987-03-02 09:16:19.049993 UTC","2446856.8863315973 JD UTC"
"1987-03-16 21:35:57.111579 UTC","2446871.3999665690 JD UTC"
"1987-03-29 18:05:17.628307 UTC","2446884.2536762534 JD UTC"
"1987-04-13 05:23:47.368162 UTC","2446898.7248537983 JD UTC"
"1987-04-26 01:20:12.722000 UTC","2446911.5557028010 JD UTC"
"1987-05-10 13:37:36.795621 UTC","2446926.0677869865 JD UTC"
"1987-05-23 05:17:26.424856 UTC","2446938.7204447323 JD UTC"
"1987-06-06 19:43:10.175087 UTC","2446953.3216455450 JD UTC"
"1987-06-19 06:51:20.467175 UTC","2446965.7856535553 JD UTC"
"1987-07-03 22:50:47.408795 UTC","2446980.4519376020 JD UTC"
"1987-07-16 09:05:31.234379 UTC","2446992.8788337310 JD UTC"
"1987-07-31 00:36:44.026895 UTC","2447007.5255095707 JD UTC"
"1987-08-12 14:38:44.831600 UTC","2447020.1102411067 JD UTC"
"1987-08-27 03:35:06.838361 UTC","2447034.6493847030 JD UTC"
"1987-09-08 23:27:36.345443 UTC","2447047.4775039980 JD UTC"
"1987-09-23 09:02:31.446770 UTC","2447061.8767528560 JD UTC"
"1987-10-06 09:00:34.923592 UTC","2447074.8754042084 JD UTC"
"1987-10-20 16:10:29.490238 UTC","2447089.1739524333 JD UTC"
"1987-11-02 16:02:59.566880 UTC","2447102.1687449870 JD UTC"
"1987-11-16 22:45:46.486302 UTC","2447116.4484547027 JD UTC"
"1987-11-29 18:56:01.431426 UTC","2447129.2889054560 JD UTC"
"1987-12-14 02:52:17.112987 UTC","2447143.6196425115 JD UTC"
"1987-12-26 19:50:32.756706 UTC","2447156.3267680174 JD UTC"
"1988-01-10 04:58:10.028141 UTC","2447170.7070605108 JD UTC"
"1988-01-22 23:28:23.485969 UTC","2447183.4780496060 JD UTC"
"1988-02-06 07:36:18.434706 UTC","2447197.8168800315 JD UTC"
"1988-02-19 07:49:41.975204 UTC","2447210.8261802685 JD UTC"
"1988-03-04 12:19:03.244737 UTC","2447225.0132319992 JD UTC"
"1988-03-17 18:28:06.852530 UTC","2447238.2695237560 JD UTC"
"1988-03-31 18:22:10.633647 UTC","2447252.2654008525 JD UTC"
"1988-04-14 03:25:37.896454 UTC","2447265.6427997276 JD UTC"
"1988-04-27 23:59:49.426351 UTC","2447279.4998776200 JD UTC"
"1988-05-11 08:16:04.727517 UTC","2447292.8444991610 JD UTC"
"1988-05-25 04:00:15.329711 UTC","2447306.6668440937 JD UTC"
"1988-06-07 09:49:17.795369 UTC","2447319.9092337430 JD UTC"
"1988-06-21 06:44:55.419207 UTC","2447333.7811969817 JD UTC"
"1988-07-04 11:41:45.815614 UTC","2447346.9873358290 JD UTC"
"1988-07-18 09:43:48.589877 UTC","2447360.9054234940 JD UTC"
"1988-07-31 17:07:38.767354 UTC","2447374.2136431406 JD UTC"
"1988-08-14 14:01:36.373692 UTC","2447388.0844487697 JD UTC"
"1988-08-28 02:22:18.126801 UTC","2447401.5988209120 JD UTC"
"1988-09-10 19:23:58.416257 UTC","2447415.3083150030 JD UTC"
"1988-09-24 12:56:12.767268 UTC","2447429.0390366580 JD UTC"
"1988-10-08 00:38:38.993490 UTC","2447442.5268402025 JD UTC"
"1988-10-21 21:15:10.300939 UTC","2447456.3855358907 JD UTC"
"1988-11-04 04:32:32.749142 UTC","2447469.6892679300 JD UTC"
"1988-11-18 01:00:58.516568 UTC","2447483.5423439420 JD UTC"
"1988-12-01 07:08:21.976032 UTC","2447496.7974765743 JD UTC"
"1988-12-15 01:52:31.220882 UTC","2447510.5781391305 JD UTC"
"1988-12-28 10:10:20.546400 UTC","2447523.9238489170 JD UTC"
"1989-01-11 04:42:09.890895 UTC","2447537.6959478115 JD UTC"
"1989-01-24 15:05:09.102122 UTC","2447551.1285775710 JD UTC"
"1989-02-07 12:17:50.692111 UTC","2447565.0123922700 JD UTC"
"1989-02-20 21:11:37.386659 UTC","2447578.3830716047 JD UTC"
"1989-03-06 22:52:41.669819 UTC","2447592.4532600674 JD UTC"
"1989-03-20 02:37:09.291086 UTC","2447605.6091353134 JD UTC"
