"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-02 09:32:43.850094 UTC to 1980-01-02 09:32:43.850094 UTC", ... , "2080-12-26 17:11:34.401613 UTC to 2080-12-26 17:11:34.401613 UTC"], items=1250"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1986-06-22 03:22:29.151684 UTC","2446603.6406151815 JD UTC"
"1986-07-21 10:43:34.042327 UTC","2446632.9469217863 JD UTC"
"1986-08-19 19:19:23.029346 UTC","2446662.3051276547 JD UTC"
"1986-09-18 05:57:49.825611 UTC","2446691.7484933520 JD UTC"
"1986-10-17 19:18:39.421599 UTC","2446721.3046229350 JD UTC"
"1986-11-16 11:41:49.456545 UTC","2446750.9873779690 JD UTC"
"1986-12-16 06:40:46.901063 UTC","2446780.7783206142 JD UTC"
"1987-01-15 02:41:03.091480 UTC","2446810.6118413364 JD UTC"
"1987-02-13 21:30:12.481703 UTC","2446840.3959777975 JD UTC"
"1987-03-15 13:31:02.094127 UTC","2446870.0632186820 JD UTC"
"1987-04-14 02:19:30.245584 UTC","2446899.5968778420 JD UTC"
"1987-05-13 12:24:28.451350 UTC","2446929.0169959646 JD UTC"
"1987-06-11 20:34:54.227621 UTC","2446958.3575720790 JD UTC"
"1987-07-11 03:43:13.430805 UTC","2446987.6550165600 JD UTC"
"1987-08-09 10:42:36.147576 UTC","2447016.9462517080 JD UTC"
"1987-09-07 18:29:05.601668 UTC","2447046.2702037230 JD UTC"
"1987-10-07 04:02:10.154210 UTC","2447075.6681730812 JD UTC"
"1987-11-05 16:17:30.537862 UTC","2447105.1788256700 JD UTC"
"1987-12-05 07:45:14.061340 UTC","2447134.8230794137 JD UTC"
"1988-01-04 01:58:26.215215 UTC","2447164.5822478610 JD UTC"
"1988-02-02 21:25:35.373407 UTC","2447194.3927705255 JD UTC"
"1988-03-03 16:13:28.938044 UTC","2447224.1760293753 JD UTC"
"1988-04-02 09:00:50.288162 UTC","2447253.8755820390 JD UTC"
"1988-05-01 23:12:09.545384 UTC","2447283.4667771460 JD UTC"
"1988-05-31 10:45:34.776849 UTC","2447312.9483191767 JD UTC"
"1988-06-29 20:03:52.424464 UTC","2447342.3360234313 JD UTC"
