"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-02 01:59:01.834919 UTC to 1980-01-02 01:59:01.834919 UTC", ... , "2080-12-26 07:11:06.584913 UTC to 2080-12-26 07:11:06.584913 UTC"], items=1351"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1985-12-27 08:22:07.177890 UTC","2446426.8486941885 JD UTC"
"1986-01-23 14:57:30.343564 UTC","2446454.1232678653 JD UTC"
"1986-02-19 22:44:14.452604 UTC","2446481.4473894980 JD UTC"
"1986-03-19 06:59:28.310482 UTC","2446508.7912998900 JD UTC"
"1986-04-15 14:40:47.338632 UTC","2446536.1116590120 JD UTC"
"1986-05-12 21:10:25.378508 UTC","2446563.3822381770 JD UTC"
"1986-06-09 02:38:15.639322 UTC","2446590.6099032330 JD UTC"
"1986-07-06 07:52:19.425864 UTC","2446617.8280026140 JD UTC"
"1986-08-02 13:47:46.439908 UTC","2446645.0748430546 JD UTC"
"1986-08-29 20:52:43.419142 UTC","2446672.3699469810 JD UTC"
"1986-09-26 04:48:31.210555 UTC","2446699.7003612330 JD UTC"
"1986-10-23 12:39:07.876713 UTC","2446727.0271744990 JD UTC"
"1986-11-19 19:29:56.609627 UTC","2446754.3124607597 JD UTC"
"1986-12-17 01:10:10.670157 UTC","2446781.5487346080 JD UTC"
"1987-01-13 06:23:11.324055 UTC","2446808.7661032877 JD UTC"
"1987-02-09 12:14:53.075867 UTC","2446836.0103365260 JD UTC"
"1987-03-08 19:23:08.574921 UTC","2446863.3077381356 JD UTC"
"1987-04-05 03:26:21.410227 UTC","2446890.6433033590 JD UTC"
"1987-05-02 11:20:27.427025 UTC","2446917.9725396647 JD UTC"
"1987-05-29 18:09:23.086847 UTC","2446945.2565172086 JD UTC"
"1987-06-25 23:44:13.786822 UTC","2446972.4890484586 JD UTC"
"1987-07-23 04:46:27.833690 UTC","2446999.6989332605 JD UTC"
"1987-08-19 10:20:12.024778 UTC","2447026.9306947314 JD UTC"
"1987-09-15 17:11:11.190919 UTC","2447054.2161017465 JD UTC"
"1987-10-13 01:15:00.102136 UTC","2447081.5520845153 JD UTC"
"1987-11-09 09:36:14.693664 UTC","2447108.9001700655 JD UTC"
"1987-12-06 17:04:28.693303 UTC","2447136.2114432096 JD UTC"
"1988-01-02 23:06:11.076704 UTC","2447163.4626282025 JD UTC"
"1988-01-30 04:16:16.429009 UTC","2447190.6779679283 JD UTC"
"1988-02-26 09:57:31.785647 UTC","2447217.9149512230 JD UTC"
"1988-03-24 17:11:02.134497 UTC","2447245.2159969270 JD UTC"
"1988-04-21 01:40:59.267362 UTC","2447272.5701304090 JD UTC"
"1988-05-18 10:13:57.172989 UTC","2447299.9263561690 JD UTC"
"1988-06-14 17:41:04.477830 UTC","2447327.2368573820 JD UTC"
"1988-07-11 23:42:23.119236 UTC","2447354.4877675837 JD UTC"
"1988-08-08 04:55:10.390985 UTC","2447381.7049813773 JD UTC"
"1988-09-04 10:32:12.624906 UTC","2447408.9390350105 JD UTC"
"1988-10-01 17:37:24.132011 UTC","2447436.2343070833 JD UTC"
"1988-10-29 02:19:06.914244 UTC","2447463.5966078040 JD UTC"
"1988-11-25 11:37:04.093476 UTC","2447490.9840751560 JD UTC"
"1988-12-22 20:00:21.877829 UTC","2447518.3335865490 JD UTC"
"1989-01-19 02:35:32.242871 UTC","2447545.6080120704 JD UTC"
"1989-02-15 07:57:31.635749 UTC","2447572.8316161544 JD UTC"
"1989-03-14 13:48:27.229196 UTC","2447600.0753151528 JD UTC"
"1989-04-10 21:24:19.292683 UTC","2447627.3918899614 JD UTC"
"1989-05-08 06:30:43.025604 UTC","2447654.7713313150 JD UTC"
"1989-06-04 15:50:12.827271 UTC","2447682.1598706860 JD UTC"
"1989-07-02 00:05:22.549903 UTC","2447709.5037332163 JD UTC"
"1989-07-29 06:42:51.425190 UTC","2447736.7797618657 JD UTC"
"1989-08-25 12:12:14.236882 UTC","2447764.0084981120 JD UTC"
"1989-09-21 17:56:05.947475 UTC","2447791.2472910590 JD UTC"
"1989-10-19 01:20:07.451557 UTC","2447818.5556418006 JD UTC"
"1989-11-15 10:45:37.523763 UTC","2447845.9483509697 JD UTC"
"1989-12-12 21:03:44.253966 UTC","2447873.3775955320 JD UTC"
"1990-01-09 06:20:06.788994 UTC","2447900.7639674650 JD UTC"
"1990-02-05 13:23:31.005478 UTC","2447928.0579977487 JD UTC"
"1990-03-04 18:53:12.743992 UTC","2447955.2869530553 JD UTC"
"1990-04-01 00:48:34.128808 UTC","2447982.5337283425 JD UTC"
"1990-04-28 08:37:19.332383 UTC","2448009.8592515322 JD UTC"
"1990-05-25 18:10:43.309840 UTC","2448037.2574457160 JD UTC"
"1990-06-22 04:11:08.539187 UTC","2448064.6744043888 JD UTC"
"1990-07-19 13:09:39.027325 UTC","2448092.0483683720 JD UTC"
"1990-08-15 20:14:48.962733 UTC","2448119.3436222537 JD UTC"
"1990-09-12 01:48:40.305656 UTC","2448146.5754665006 JD UTC"
"1990-10-09 07:28:27.287395 UTC","2448173.8114269376 JD UTC"
"1990-11-05 15:03:58.463346 UTC","2448201.1277599926 JD UTC"
"1990-12-03 01:05:20.289146 UTC","2448228.5453737170 JD UTC"
"1990-12-30 12:08:55.646753 UTC","2448256.0061996150 JD UTC"
"1991-01-26 21:56:27.997968 UTC","2448283.4142129393 JD UTC"
"1991-02-23 05:06:21.244704 UTC","2448310.7127458877 JD UTC"
"1991-03-22 10:28:05.588080 UTC","2448337.9361757880 JD UTC"
"1991-04-18 16:15:41.220786 UTC","2448365.1775604260 JD UTC"
"1991-05-16 00:05:26.983785 UTC","2448392.5037845345 JD UTC"
"1991-06-12 09:53:27.199960 UTC","2448419.9121203697 JD UTC"
"1991-07-09 20:19:17.914268 UTC","2448447.3467351190 JD UTC"
"1991-08-06 05:40:26.912107 UTC","2448474.7364225937 JD UTC"
"1991-09-02 12:50:20.933673 UTC","2448502.0349645102 JD UTC"
"1991-09-29 18:11:30.650401 UTC","2448529.2579936390 JD UTC"
"1991-10-26 23:40:52.349023 UTC","2448556.4867170025 JD UTC"
"1991-11-23 07:25:14.443882 UTC","2448583.8091949522 JD UTC"
"1991-12-20 17:49:02.638055 UTC","2448611.2423916440 JD UTC"
"1992-01-17 05:07:25.403712 UTC","2448638.7134884690 JD UTC"
"1992-02-13 14:48:12.664136 UTC","2448666.1168132424 JD UTC"
"1992-03-11 21:37:14.115154 UTC","2448693.4008578140 JD UTC"
"1992-04-08 02:41:28.360104 UTC","2448720.6121337977 JD UTC"
"1992-05-05 08:21:31.605244 UTC","2448747.8482824680 JD UTC"
"1992-06-01 16:10:15.595912 UTC","2448775.1737916195 JD UTC"
"1992-06-29 01:59:42.910359 UTC","2448802.5831355364 JD UTC"
"1992-07-26 12:24:16.774585 UTC","2448830.0168608170 JD UTC"
"1992-08-22 21:34:25.921337 UTC","2448857.3989111264 JD UTC"
"1992-09-19 04:23:09.065027 UTC","2448884.6827438083 JD UTC"
"1992-10-16 09:27:03.287825 UTC","2448911.8937880537 JD UTC"
"1992-11-12 14:58:13.876108 UTC","2448939.1237717140 JD UTC"
"1992-12-09 22:56:08.418546 UTC","2448966.4556529922 JD UTC"
"1993-01-06 09:19:53.772413 UTC","2448993.8888168100 JD UTC"
"1993-02-02 20:09:08.305919 UTC","2449021.3396794666 JD UTC"
"1993-03-02 05:04:05.133442 UTC","2449048.7111705258 JD UTC"
"1993-03-29 11:20:41.712436 UTC","2449075.9727050050 JD UTC"
