"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-08 08:04:53.667735 UTC to 1980-01-08 08:04:53.667735 UTC", ... , "2080-12-16 08:19:37.190832 UTC to 2080-12-16 08:19:37.190832 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1986-01-20 01:21:41.492332 UTC","2446450.5567302355 JD UTC"
"1986-02-16 22:22:25.097038 UTC","2446478.4322349196 JD UTC"
"1986-03-16 18:48:40.871654 UTC","2446506.2838063850 JD UTC"
"1986-04-13 12:00:13.080144 UTC","2446534.0001513907 JD UTC"
"1986-05-10 22:39:29.367768 UTC","2446561.4440899050 JD UTC"
"1986-06-07 01:54:29.756657 UTC","2446588.5795110725 JD UTC"
"1986-07-04 08:01:29.378072 UTC","2446615.8343678020 JD UTC"
"1986-07-31 21:19:22.149254 UTC","2446643.3884508014 JD UTC"
"1986-08-28 14:41:37.241646 UTC","2446671.1122365930 JD UTC"
"1986-09-25 10:01:29.401165 UTC","2446698.9177014020 JD UTC"
"1986-10-23 05:36:44.533591 UTC","2446726.7338487683 JD UTC"
"1986-11-19 22:13:23.112360 UTC","2446754.4259619485 JD UTC"
"1986-12-17 05:04:37.387434 UTC","2446781.7115438360 JD UTC"
"1987-01-13 04:58:43.002976 UTC","2446808.7074421640 JD UTC"
"1987-02-09 16:01:12.600633 UTC","2446836.1675069520 JD UTC"
"1987-03-09 10:28:36.728900 UTC","2446863.9365362143 JD UTC"
"1987-04-06 06:36:36.015000 UTC","2446891.7754168403 JD UTC"
"1987-05-04 01:41:35.519172 UTC","2446919.5705499905 JD UTC"
"1987-05-31 17:48:34.944405 UTC","2446947.2420711160 JD UTC"
"1987-06-28 04:15:08.157291 UTC","2446974.6771777463 JD UTC"
"1987-07-25 07:46:19.714874 UTC","2447001.8238392924 JD UTC"
"1987-08-21 13:36:11.939830 UTC","2447029.0668048593 JD UTC"
"1987-09-18 03:04:06.670991 UTC","2447056.6278549884 JD UTC"
"1987-10-15 21:22:08.054888 UTC","2447084.3903710055 JD UTC"
"1987-11-12 17:53:26.127010 UTC","2447112.2454412850 JD UTC"
"1987-12-10 14:07:37.573850 UTC","2447140.0886293270 JD UTC"
"1988-01-07 05:52:55.484936 UTC","2447167.7450866313 JD UTC"
"1988-02-03 10:27:49.221462 UTC","2447194.9359863596 JD UTC"
"1988-03-01 11:51:29.920102 UTC","2447221.9940962973 JD UTC"
"1988-03-29 00:26:48.225782 UTC","2447249.5186137245 JD UTC"
"1988-04-25 18:33:15.872988 UTC","2447277.2731003817 JD UTC"
"1988-05-23 13:43:38.787580 UTC","2447305.0719767082 JD UTC"
"1988-06-20 08:10:38.813025 UTC","2447332.8407270030 JD UTC"
"1988-07-18 00:29:06.175687 UTC","2447360.5202103667 JD UTC"
"1988-08-14 11:43:39.055012 UTC","2447387.9886464700 JD UTC"
"1988-09-10 15:06:31.779968 UTC","2447415.1295344904 JD UTC"
"1988-10-07 20:29:24.875376 UTC","2447442.3537601316 JD UTC"
"1988-11-04 10:49:37.715952 UTC","2447469.9511309720 JD UTC"
"1988-12-02 06:28:22.021677 UTC","2447497.7696993250 JD UTC"
"1988-12-30 03:55:09.541750 UTC","2447525.6633048810 JD UTC"
"1989-01-27 00:02:01.496168 UTC","2447553.5014062060 JD UTC"
"1989-02-23 14:28:58.552974 UTC","2447581.1034554740 JD UTC"
"1989-03-22 18:20:52.907446 UTC","2447608.2645012434 JD UTC"
"1989-04-18 21:10:39.878502 UTC","2447635.3824060010 JD UTC"
"1989-05-16 09:24:01.597808 UTC","2447662.8916851600 JD UTC"
"1989-06-13 02:22:38.559494 UTC","2447690.5990574015 JD UTC"
"1989-07-10 20:49:56.888230 UTC","2447718.3680195400 JD UTC"
"1989-08-07 15:22:24.441989 UTC","2447746.1405606710 JD UTC"
"1989-09-04 08:25:16.409609 UTC","2447773.8508843705 JD UTC"
"1989-10-01 20:07:15.005708 UTC","2447801.3383681215 JD UTC"
"1989-10-28 22:20:21.435509 UTC","2447828.4308036520 JD UTC"
"1989-11-25 03:46:32.106208 UTC","2447855.6573160440 JD UTC"
"1989-12-22 19:27:52.153087 UTC","2447883.3110202905 JD UTC"
"1990-01-19 15:58:01.040298 UTC","2447911.1652898183 JD UTC"
