"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Input times","["2023-01-02T23:48:00.000", "2023-01-04T00:54:00.000", ... , "2042-12-30T05:00:00.000", "2042-12-31T05:18:00.000"], items=4496"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2023-04-24 18:00:00.000000 UTC","2460059.2500000000 JD UTC"
"2023-04-25 18:36:00.000000 UTC","2460060.2750000000 JD UTC"
"2023-04-26 19:18:00.000000 UTC","2460061.3041666667 JD UTC"
"2023-04-27 19:54:00.000000 UTC","2460062.3291666666 JD UTC"
"2023-04-28 20:12:00.000000 UTC","2460063.3416666670 JD UTC"
"2023-05-04 13:00:00.000000 UTC","2460069.0416666665 JD UTC"
"2023-05-05 14:18:00.000000 UTC","2460070.0958333330 JD UTC"
"2023-05-06 15:18:00.000000 UTC","2460071.1375000000 JD UTC"
"2023-05-07 16:18:00.000000 UTC","2460072.1791666667 JD UTC"
"2023-05-08 17:18:00.000000 UTC","2460073.2208333330 JD UTC"
"2023-05-09 18:12:00.000000 UTC","2460074.2583333333 JD UTC"
"2023-05-10 19:06:00.000000 UTC","2460075.2958333334 JD UTC"
"2023-05-11 19:54:00.000000 UTC","2460076.3291666666 JD UTC"
"2023-05-12 20:42:00.000000 UTC","2460077.3625000000 JD UTC"
"2023-05-13 21:12:00.000000 UTC","2460078.3833333333 JD UTC"
"2023-05-14 21:24:00.000000 UTC","2460079.3916666666 JD UTC"
"2023-05-17 12:36:00.000000 UTC","2460082.0250000000 JD UTC"
"2023-05-18 13:54:00.000000 UTC","2460083.0791666666 JD UTC"
"2023-05-19 14:54:00.000000 UTC","2460084.1208333330 JD UTC"
"2023-05-20 15:42:00.000000 UTC","2460085.1541666670 JD UTC"
"2023-05-21 16:24:00.000000 UTC","2460086.1833333330 JD UTC"
"2023-05-22 17:06:00.000000 UTC","2460087.2125000000 JD UTC"
"2023-05-23 17:36:00.000000 UTC","2460088.2333333334 JD UTC"
"2023-05-24 18:12:00.000000 UTC","2460089.2583333333 JD UTC"
"2023-05-25 18:36:00.000000 UTC","2460090.2750000000 JD UTC"
"2023-05-26 18:42:00.000000 UTC","2460091.2791666670 JD UTC"
"2023-06-01 12:00:00.000000 UTC","2460097.0000000000 JD UTC"
"2023-06-02 13:30:00.000000 UTC","2460098.0625000000 JD UTC"
"2023-06-03 14:36:00.000000 UTC","2460099.1083333334 JD UTC"
