"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-09 11:24:52.126002 UTC to 1980-01-09 11:24:52.126002 UTC", ... , "2080-12-19 14:06:26.309514 UTC to 2080-12-19 14:06:26.309514 UTC"], items=2700"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1983-01-05 22:28:57.122022 UTC","2445340.4367722454 JD UTC"
"1983-01-20 17:14:16.114433 UTC","2445355.2182420650 JD UTC"
"1983-02-02 06:17:22.374141 UTC","2445367.7620645156 JD UTC"
"1983-02-16 22:09:18.022084 UTC","2445382.4231252554 JD UTC"
"1983-03-01 15:52:32.281406 UTC","2445395.1614847383 JD UTC"
"1983-03-16 03:32:56.858030 UTC","2445409.6478803013 JD UTC"
"1983-03-29 01:53:42.418240 UTC","2445422.5789631740 JD UTC"
"1983-04-12 10:55:25.863074 UTC","2445436.9551604520 JD UTC"
"1983-04-25 10:43:34.470890 UTC","2445449.9469267465 JD UTC"
"1983-05-09 20:01:35.940760 UTC","2445464.3344437587 JD UTC"
"1983-05-22 17:39:13.898539 UTC","2445477.2355775293 JD UTC"
"1983-06-06 05:26:06.329356 UTC","2445491.7264621453 JD UTC"
"1983-06-18 23:17:07.336605 UTC","2445504.4702238030 JD UTC"
"1983-07-03 13:36:41.224512 UTC","2445519.0671438020 JD UTC"
"1983-07-16 05:07:50.788368 UTC","2445531.7137822730 JD UTC"
"1983-07-30 19:52:39.598447 UTC","2445546.3282360933 JD UTC"
"1983-08-12 12:35:15.271186 UTC","2445559.0244823050 JD UTC"
"1983-08-27 00:54:47.014956 UTC","2445573.5380441546 JD UTC"
"1983-09-08 21:58:46.288980 UTC","2445586.4158135300 JD UTC"
"1983-09-23 06:18:24.237883 UTC","2445600.7627805310 JD UTC"
"1983-10-06 08:17:57.841571 UTC","2445613.8458083514 JD UTC"
"1983-10-20 13:21:42.657345 UTC","2445628.0567437190 JD UTC"
"1983-11-02 17:45:34.738096 UTC","2445641.2399853948 JD UTC"
"1983-11-16 22:06:21.801449 UTC","2445655.4210856650 JD UTC"
"1983-11-30 00:58:09.027775 UTC","2445668.5403822660 JD UTC"
"1983-12-14 07:13:48.010652 UTC","2445682.8012501234 JD UTC"
"1983-12-27 06:17:32.769408 UTC","2445695.7621848313 JD UTC"
"1984-01-10 15:05:29.494324 UTC","2445710.1288135920 JD UTC"
"1984-01-23 12:00:00.852365 UTC","2445723.0000098655 JD UTC"
"1984-02-06 21:09:43.281491 UTC","2445737.3817509430 JD UTC"
"1984-02-19 20:11:02.703681 UTC","2445750.3410035150 JD UTC"
"1984-03-05 02:25:24.196210 UTC","2445764.6009744930 JD UTC"
"1984-03-18 06:41:38.218120 UTC","2445777.7789145615 JD UTC"
"1984-04-01 08:14:52.903708 UTC","2445791.8436678670 JD UTC"
"1984-04-14 17:32:43.356073 UTC","2445805.2310573620 JD UTC"
"1984-04-28 15:15:45.216773 UTC","2445819.1359400090 JD UTC"
"1984-05-12 02:39:56.229207 UTC","2445832.6110674680 JD UTC"
"1984-05-25 23:08:57.936014 UTC","2445846.4645594447 JD UTC"
"1984-06-08 09:15:25.361221 UTC","2445859.8857101994 JD UTC"
"1984-06-22 07:03:37.169491 UTC","2445873.7941802023 JD UTC"
"1984-07-05 14:16:22.561355 UTC","2445887.0947055714 JD UTC"
"1984-07-19 14:13:05.524234 UTC","2445901.0924250490 JD UTC"
"1984-08-01 19:48:21.155292 UTC","2445914.3252448530 JD UTC"
"1984-08-15 20:25:05.991138 UTC","2445928.3507637860 JD UTC"
"1984-08-29 03:36:32.744871 UTC","2445941.6503789914 JD UTC"
"1984-09-12 02:07:39.701133 UTC","2445955.5886539480 JD UTC"
"1984-09-25 13:50:50.425244 UTC","2445969.0769725144 JD UTC"
"1984-10-09 08:06:12.405698 UTC","2445982.8376435842 JD UTC"
"1984-10-23 00:57:16.429391 UTC","2445996.5397734884 JD UTC"
"1984-11-05 14:50:20.204796 UTC","2446010.1182894073 JD UTC"
"1984-11-19 10:33:14.277104 UTC","2446023.9397485780 JD UTC"
"1984-12-02 22:14:50.044210 UTC","2446037.4269681040 JD UTC"
"1984-12-16 17:10:00.037542 UTC","2446051.2152782124 JD UTC"
"1984-12-30 05:48:22.712507 UTC","2446064.7419295427 JD UTC"
"1985-01-12 21:51:12.667359 UTC","2446078.4105632794 JD UTC"
"1985-01-26 13:01:50.453693 UTC","2446092.0429450660 JD UTC"
"1985-02-09 03:36:20.434350 UTC","2446105.6502365090 JD UTC"
"1985-02-22 19:45:56.055487 UTC","2446119.3235654570 JD UTC"
"1985-03-08 12:20:45.706370 UTC","2446133.0144178980 JD UTC"
"1985-03-22 02:06:07.146322 UTC","2446146.5875827120 JD UTC"
"1985-04-04 23:18:34.859937 UTC","2446160.4712368050 JD UTC"
"1985-04-18 08:14:59.567039 UTC","2446173.8437449890 JD UTC"
"1985-05-02 10:09:49.766819 UTC","2446187.9234926715 JD UTC"
"1985-05-15 14:29:19.388455 UTC","2446201.1036966257 JD UTC"
"1985-05-29 18:50:10.043320 UTC","2446215.2848384646 JD UTC"
"1985-06-11 21:04:09.833095 UTC","2446228.3778915866 JD UTC"
"1985-06-26 00:47:34.927143 UTC","2446242.5330431380 JD UTC"
"1985-07-09 04:05:05.106237 UTC","2446255.6701979890 JD UTC"
"1985-07-23 05:24:12.211302 UTC","2446269.7251413343 JD UTC"
"1985-08-05 11:24:14.245511 UTC","2446282.9751648786 JD UTC"
"1985-08-19 11:01:09.158370 UTC","2446296.9591337773 JD UTC"
"1985-09-01 18:42:18.014553 UTC","2446310.2793751685 JD UTC"
"1985-09-15 19:15:06.173685 UTC","2446324.3021547880 JD UTC"
"1985-09-29 01:36:40.247890 UTC","2446337.5671324986 JD UTC"
"1985-10-13 05:50:20.999110 UTC","2446351.7432986010 JD UTC"
"1985-10-26 07:54:34.580149 UTC","2446364.8295668997 JD UTC"
"1985-11-09 16:46:52.928767 UTC","2446379.1992237126 JD UTC"
"1985-11-22 13:47:50.966594 UTC","2446392.0748954467 JD UTC"
"1985-12-07 01:35:19.947042 UTC","2446406.5662030910 JD UTC"
"1985-12-19 19:58:05.030757 UTC","2446419.3320026710 JD UTC"
"1986-01-03 07:18:53.686754 UTC","2446433.8047880410 JD UTC"
"1986-01-16 03:10:47.445480 UTC","2446446.6324935820 JD UTC"
"1986-01-30 11:48:01.116446 UTC","2446460.9916795883 JD UTC"
"1986-02-12 11:25:36.135239 UTC","2446473.9761126763 JD UTC"
"1986-02-26 17:58:10.357528 UTC","2446488.2487309900 JD UTC"
"1986-03-11 19:44:25.353568 UTC","2446501.3225156665 JD UTC"
"1986-03-26 02:56:38.533264 UTC","2446515.6226682090 JD UTC"
"1986-04-08 03:01:12.992252 UTC","2446528.6258448176 JD UTC"
"1986-04-22 13:29:14.579621 UTC","2446543.0619743010 JD UTC"
"1986-05-05 08:57:28.555210 UTC","2446555.8732471666 JD UTC"
"1986-05-19 23:23:48.189393 UTC","2446570.4748633034 JD UTC"
"1986-06-01 14:16:19.438161 UTC","2446583.0946694230 JD UTC"
"1986-06-16 07:02:46.514311 UTC","2446597.7935939156 JD UTC"
"1986-06-28 20:11:20.201622 UTC","2446610.3412060374 JD UTC"
"1986-07-13 12:23:40.108195 UTC","2446625.0164364376 JD UTC"
"1986-07-26 03:33:06.610571 UTC","2446637.6479931780 JD UTC"
"1986-08-09 17:01:35.519544 UTC","2446652.2094388837 JD UTC"
"1986-08-22 12:12:43.959862 UTC","2446665.0088421280 JD UTC"
"1986-09-05 23:00:22.663008 UTC","2446679.4585956368 JD UTC"
"1986-09-18 21:06:35.935209 UTC","2446692.3795825834 JD UTC"
"1986-10-03 07:22:17.133473 UTC","2446706.8071427485 JD UTC"
"1986-10-16 04:54:37.473104 UTC","2446719.7046003830 JD UTC"
"1986-10-30 17:25:07.145714 UTC","2446734.2257771497 JD UTC"
"1986-11-12 10:54:56.129931 UTC","2446746.9548163186 JD UTC"
"1986-11-27 03:07:02.582290 UTC","2446761.6298909990 JD UTC"
"1986-12-09 15:53:01.468546 UTC","2446774.1618225530 JD UTC"
"1986-12-24 10:33:24.451871 UTC","2446788.9398663410 JD UTC"
"1987-01-05 21:48:54.489099 UTC","2446801.4089639940 JD UTC"
"1987-01-20 15:43:41.747609 UTC","2446816.1553443010 JD UTC"
"1987-02-02 06:07:34.613370 UTC","2446828.7552617290 JD UTC"
"1987-02-16 20:39:01.324982 UTC","2446843.3604320020 JD UTC"
"1987-03-01 16:07:20.783392 UTC","2446856.1717683263 JD UTC"
"1987-03-16 03:15:49.143767 UTC","2446870.6359854600 JD UTC"
"1987-03-29 01:42:55.607218 UTC","2446883.5714769354 JD UTC"
"1987-04-12 11:47:19.249672 UTC","2446897.9911950193 JD UTC"
"1987-04-25 09:14:06.804850 UTC","2446910.8848009820 JD UTC"
"1987-05-09 20:59:57.006911 UTC","2446925.3749653576 JD UTC"
"1987-05-22 14:36:55.012900 UTC","2446938.1089700568 JD UTC"
"1987-06-06 05:20:44.362501 UTC","2446952.7227356770 JD UTC"
"1987-06-18 19:23:23.285976 UTC","2446965.3079084023 JD UTC"
"1987-07-03 11:58:39.846697 UTC","2446979.9990723000 JD UTC"
"1987-07-16 01:32:55.790894 UTC","2446992.5645346167 JD UTC"
"1987-07-30 17:15:09.678427 UTC","2447007.2188620190 JD UTC"
"1987-08-12 10:03:44.344362 UTC","2447019.9192632450 JD UTC"
"1987-08-26 22:26:07.306959 UTC","2447034.4348067935 JD UTC"
"1987-09-08 20:15:21.629663 UTC","2447047.3440003432 JD UTC"
"1987-09-23 04:46:02.920354 UTC","2447061.6986449114 JD UTC"
"1987-10-06 06:17:08.256354 UTC","2447074.7619011150 JD UTC"
"1987-10-20 12:36:23.584592 UTC","2447089.0252729696 JD UTC"
"1987-11-02 14:14:54.398862 UTC","2447102.0936851720 JD UTC"
"1987-11-16 21:10:49.870229 UTC","2447116.3825216460 JD UTC"
"1987-11-29 19:37:27.906397 UTC","2447129.3176841020 JD UTC"
"1987-12-14 05:08:21.252814 UTC","2447143.7141348706 JD UTC"
"1987-12-27 00:13:17.963608 UTC","2447156.5092356900 JD UTC"
"1988-01-10 11:41:34.478642 UTC","2447170.9872046140 JD UTC"
"1988-01-23 06:53:26.901180 UTC","2447183.7871169117 JD UTC"
"1988-02-06 17:18:47.125132 UTC","2447198.2213787630 JD UTC"
"1988-02-19 16:38:30.769545 UTC","2447211.1934116846 JD UTC"
"1988-03-04 23:05:47.849802 UTC","2447225.4623593725 JD UTC"
"1988-03-18 03:47:46.824552 UTC","2447238.6581808400 JD UTC"
"1988-04-01 05:41:49.594801 UTC","2447252.7373795696 JD UTC"
"1988-04-14 13:44:16.738737 UTC","2447266.0724159577 JD UTC"
"1988-04-28 13:00:39.821738 UTC","2447280.0421275664 JD UTC"
"1988-05-11 20:54:58.238951 UTC","2447293.3715073950 JD UTC"
"1988-05-25 20:29:49.599088 UTC","2447307.3540462856 JD UTC"
"1988-06-08 01:49:53.573184 UTC","2447320.5763145043 JD UTC"
"1988-06-22 03:37:08.119937 UTC","2447334.6507884250 JD UTC"
"1988-07-05 06:37:56.297211 UTC","2447347.7763460325 JD UTC"
"1988-07-19 10:08:56.425164 UTC","2447361.9228752910 JD UTC"
