"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-17 21:44:41.395938 UTC to 1980-01-17 21:44:41.395938 UTC", ... , "2080-12-11 07:01:34.155673 UTC to 2080-12-11 07:01:34.155673 UTC"], items=1249"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1986-07-07 04:43:08.972354 UTC","2446618.6966316244 JD UTC"
"1986-08-05 18:55:14.347111 UTC","2446648.2883604990 JD UTC"
"1986-09-04 07:40:09.913616 UTC","2446677.8195591853 JD UTC"
"1986-10-03 19:05:51.285557 UTC","2446707.2957324716 JD UTC"
"1986-11-02 05:46:13.271714 UTC","2446736.7404313856 JD UTC"
"1986-12-01 16:18:35.213944 UTC","2446766.1795742353 JD UTC"
"1986-12-31 03:03:56.630567 UTC","2446795.6277387800 JD UTC"
"1987-01-29 14:04:04.813767 UTC","2446825.0861668260 JD UTC"
"1987-02-28 01:15:58.953320 UTC","2446854.5527656632 JD UTC"
"1987-03-29 12:49:29.896617 UTC","2446884.0343738035 JD UTC"
"1987-04-28 01:10:38.390686 UTC","2446913.5490554480 JD UTC"
"1987-05-27 14:45:06.350721 UTC","2446943.1146568370 JD UTC"
"1987-06-26 05:34:06.808918 UTC","2446972.7320232512 JD UTC"
"1987-07-25 21:04:57.386334 UTC","2447002.3784419713 JD UTC"
"1987-08-24 12:29:10.843020 UTC","2447032.0202643867 JD UTC"
"1987-09-23 03:12:06.801820 UTC","2447061.6334120580 JD UTC"
"1987-10-22 17:04:20.384913 UTC","2447091.2113470477 JD UTC"
"1987-11-21 06:09:15.429648 UTC","2447120.7564285840 JD UTC"
"1987-12-20 18:26:24.315401 UTC","2447150.2683369840 JD UTC"
"1988-01-19 05:48:52.486147 UTC","2447179.7422741450 JD UTC"
"1988-02-17 16:14:37.658967 UTC","2447209.1768247564 JD UTC"
"1988-03-18 01:58:34.577292 UTC","2447238.5823446447 JD UTC"
"1988-04-16 11:35:19.497067 UTC","2447267.9828645494 JD UTC"
"1988-05-15 21:49:43.324515 UTC","2447297.4095292190 JD UTC"
"1988-06-14 09:19:53.869001 UTC","2447326.8888179283 JD UTC"
"1988-07-13 22:23:36.635435 UTC","2447356.4330629100 JD UTC"
"1988-08-12 12:57:16.051999 UTC","2447386.0397691205 JD UTC"
"1988-09-11 04:44:15.645537 UTC","2447415.6974033047 JD UTC"
"1988-10-10 21:18:25.264238 UTC","2447445.3877924103 JD UTC"
"1988-11-09 13:57:44.507616 UTC","2447475.0817651344 JD UTC"
"1988-12-09 05:45:02.821203 UTC","2447504.7396159860 JD UTC"
"1989-01-07 19:49:53.211548 UTC","2447534.3263103190 JD UTC"
"1989-02-06 07:53:02.477913 UTC","2447563.8285009020 JD UTC"
"1989-03-07 18:08:16.187503 UTC","2447593.2557429110 JD UTC"
"1989-04-06 03:08:18.104067 UTC","2447622.6307650935 JD UTC"
"1989-05-05 11:33:16.678102 UTC","2447651.9814430336 JD UTC"
"1989-06-03 20:05:31.223145 UTC","2447681.3371669347 JD UTC"
"1989-07-03 05:27:51.304102 UTC","2447710.7276771306 JD UTC"
"1989-08-01 16:23:19.866770 UTC","2447740.1828688285 JD UTC"
"1989-08-31 05:31:37.520964 UTC","2447769.7302953815 JD UTC"
"1989-09-29 21:14:34.815972 UTC","2447799.3851251850 JD UTC"
"1989-10-29 15:10:18.254210 UTC","2447829.1321557200 JD UTC"
"1989-11-28 09:58:33.166935 UTC","2447858.9156616544 JD UTC"
"1989-12-28 03:51:11.467100 UTC","2447888.6605493880 JD UTC"
"1990-01-26 19:31:00.871283 UTC","2447918.3132045288 JD UTC"
"1990-02-25 08:36:47.787123 UTC","2447947.8588864250 JD UTC"
"1990-03-26 19:23:57.856176 UTC","2447977.3083085204 JD UTC"
"1990-04-25 04:21:31.222386 UTC","2448006.6816113703 JD UTC"
"1990-05-24 12:05:07.776710 UTC","2448036.0035622306 JD UTC"
"1990-06-22 19:19:50.286297 UTC","2448065.3054431286 JD UTC"
"1990-07-22 03:02:47.437333 UTC","2448094.6269379320 JD UTC"
"1990-08-20 12:20:40.871664 UTC","2448124.0143619403 JD UTC"
"1990-09-19 00:17:27.436079 UTC","2448153.5121231030 JD UTC"
"1990-10-18 15:28:24.216844 UTC","2448183.1447247320 JD UTC"
"1990-11-17 09:29:30.011713 UTC","2448212.8954862470 JD UTC"
"1990-12-17 04:53:53.552419 UTC","2448242.7040920420 JD UTC"
"1991-01-15 23:53:36.164039 UTC","2448272.4955574540 JD UTC"
"1991-02-14 17:06:12.077555 UTC","2448302.2126397863 JD UTC"
"1991-03-16 07:46:14.379311 UTC","2448331.8237775383 JD UTC"
"1991-04-14 19:39:04.801528 UTC","2448361.3188055730 JD UTC"
"1991-05-14 04:59:05.546465 UTC","2448390.7077030840 JD UTC"
"1991-06-12 12:27:51.079254 UTC","2448420.0193411950 JD UTC"
"1991-07-11 19:06:35.047275 UTC","2448449.2962389733 JD UTC"
"1991-08-10 02:06:17.995702 UTC","2448478.5877082837 JD UTC"
"1991-09-08 10:37:51.187883 UTC","2448507.9429535633 JD UTC"
"1991-10-07 21:39:07.284276 UTC","2448537.4021676420 JD UTC"
"1991-11-06 11:38:31.739263 UTC","2448566.9850895750 JD UTC"
"1991-12-06 04:23:43.744971 UTC","2448596.6831451966 JD UTC"
"1992-01-04 23:05:23.403549 UTC","2448626.4620764297 JD UTC"
"1992-02-03 18:28:23.698636 UTC","2448656.2697187340 JD UTC"
"1992-03-04 13:00:12.936752 UTC","2448686.0418163976 JD UTC"
"1992-04-03 05:11:33.515466 UTC","2448715.7163601327 JD UTC"
"1992-05-02 18:13:13.579916 UTC","2448745.2591849530 JD UTC"
