"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1986-01-09 13:00:04.737657 UTC","2446440.0417215005 JD UTC"
"1986-02-05 20:52:30.545225 UTC","2446467.3697979770 JD UTC"
"1986-03-05 02:31:23.551961 UTC","2446494.6051337034 JD UTC"
"1986-04-01 07:50:17.990950 UTC","2446521.8265971174 JD UTC"
"1986-04-28 14:49:14.875138 UTC","2446549.1175332773 JD UTC"
"1986-05-25 23:54:57.420867 UTC","2446576.4964979270 JD UTC"
"1986-06-22 10:03:00.018444 UTC","2446603.9187502135 JD UTC"
"1986-07-19 19:37:29.084940 UTC","2446631.3176977425 JD UTC"
"1986-08-16 03:26:39.868613 UTC","2446658.6435169980 JD UTC"
"1986-09-12 09:23:43.894419 UTC","2446685.8914802596 JD UTC"
"1986-10-09 14:44:01.019236 UTC","2446713.1139006857 JD UTC"
"1986-11-05 21:24:35.121672 UTC","2446740.3920731675 JD UTC"
"1986-12-03 06:29:54.945701 UTC","2446767.7707748343 JD UTC"
"1986-12-30 17:10:56.579369 UTC","2446795.2159326314 JD UTC"
"1987-01-27 03:21:06.262690 UTC","2446822.6396558180 JD UTC"
"1987-02-23 11:17:10.175819 UTC","2446849.9702566650 JD UTC"
"1987-03-22 17:05:20.422121 UTC","2446877.2120419230 JD UTC"
"1987-04-18 22:32:42.739508 UTC","2446904.4393835590 JD UTC"
"1987-05-16 05:27:13.302078 UTC","2446931.7272372926 JD UTC"
"1987-06-12 14:17:32.200210 UTC","2446959.0955115766 JD UTC"
"1987-07-10 00:13:53.618647 UTC","2446986.5096483640 JD UTC"
"1987-08-06 09:49:27.296366 UTC","2447013.9093437080 JD UTC"
"1987-09-02 17:47:08.449142 UTC","2447041.2410700130 JD UTC"
"1987-09-29 23:49:00.009224 UTC","2447068.4923612177 JD UTC"
"1987-10-27 05:06:24.834724 UTC","2447095.7127874390 JD UTC"
"1987-11-23 11:38:45.804095 UTC","2447122.9852523620 JD UTC"
"1987-12-20 20:31:04.349534 UTC","2447150.3549114530 JD UTC"
"1988-01-17 06:54:20.649995 UTC","2447177.7877390045 JD UTC"
"1988-02-13 16:46:02.988618 UTC","2447205.1986457016 JD UTC"
"1988-03-12 00:29:41.926388 UTC","2447232.5206241480 JD UTC"
"1988-04-08 06:12:19.290776 UTC","2447259.7585566062 JD UTC"
"1988-05-05 11:30:00.973530 UTC","2447286.9791779346 JD UTC"
"1988-06-01 18:01:27.541182 UTC","2447314.2510132080 JD UTC"
"1988-06-29 02:21:32.136653 UTC","2447341.5982886185 JD UTC"
