"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1988-07-26 11:52:54.656918 UTC","2447368.9950770475 JD UTC"
"1988-08-22 21:12:18.821180 UTC","2447396.3835511710 JD UTC"
"1988-09-19 04:56:30.928545 UTC","2447423.7059135246 JD UTC"
"1988-10-16 10:43:02.541619 UTC","2447450.9465571945 JD UTC"
"1988-11-12 15:45:01.498451 UTC","2447478.1562673430 JD UTC"
"1988-12-09 22:00:01.063118 UTC","2447505.4166789710 JD UTC"
"1989-01-06 06:25:20.880933 UTC","2447532.7676027888 JD UTC"
"1989-02-02 16:09:25.794345 UTC","2447560.1732152123 JD UTC"
"1989-03-02 01:18:39.612517 UTC","2447587.5546251447 JD UTC"
"1989-03-29 08:30:48.433666 UTC","2447614.8547272417 JD UTC"
"1989-04-25 13:56:31.887573 UTC","2447642.0809246246 JD UTC"
"1989-05-22 18:59:55.883816 UTC","2447669.2916190256 JD UTC"
"1989-06-19 01:08:10.649981 UTC","2447696.5473454860 JD UTC"
"1989-07-16 08:55:58.852070 UTC","2447723.8722089360 JD UTC"
"1989-08-12 17:50:42.299049 UTC","2447751.2435451280 JD UTC"
"1989-09-09 02:32:20.598080 UTC","2447778.6057939595 JD UTC"
"1989-10-06 09:42:58.364258 UTC","2447805.9048421790 JD UTC"
"1989-11-02 15:09:27.756289 UTC","2447833.1315712533 JD UTC"
"1989-11-29 20:05:10.657701 UTC","2447860.3369289087 JD UTC"
"1989-12-27 02:09:33.920799 UTC","2447887.5899759350 JD UTC"
"1990-01-23 10:01:16.271047 UTC","2447914.9175494330 JD UTC"
"1990-02-19 18:50:55.192074 UTC","2447942.2853610194 JD UTC"
"1990-03-19 03:07:40.641492 UTC","2447969.6303314986 JD UTC"
"1990-04-15 09:52:04.043269 UTC","2447996.9111579084 JD UTC"
"1990-05-12 15:15:34.807750 UTC","2448024.1358195343 JD UTC"
"1990-06-08 20:22:44.159606 UTC","2448051.3491222180 JD UTC"
"1990-07-06 02:21:12.600383 UTC","2448078.5980625045 JD UTC"
"1990-08-02 09:39:11.295927 UTC","2448105.9022140730 JD UTC"
"1990-08-29 17:50:20.128435 UTC","2448133.2432885235 JD UTC"
"1990-09-26 01:50:52.794742 UTC","2448160.5769999390 JD UTC"
"1990-10-23 08:43:43.469546 UTC","2448187.8636975640 JD UTC"
"1990-11-19 14:23:57.810013 UTC","2448215.0999746528 JD UTC"
"1990-12-16 19:43:38.062323 UTC","2448242.3219683140 JD UTC"
"1991-01-13 01:47:36.944549 UTC","2448269.5747331544 JD UTC"
"1991-02-09 09:03:56.127434 UTC","2448296.8777329563 JD UTC"
"1991-03-08 17:07:03.273013 UTC","2448324.2132323263 JD UTC"
"1991-04-05 01:00:29.925365 UTC","2448351.5420130250 JD UTC"
"1991-05-02 07:59:30.368510 UTC","2448378.8329903763 JD UTC"
"1991-05-29 14:00:24.535399 UTC","2448406.0836173077 JD UTC"
"1991-06-25 19:37:29.947206 UTC","2448433.3177077220 JD UTC"
"1991-07-23 01:37:01.985629 UTC","2448460.5673840930 JD UTC"
"1991-08-19 08:28:42.999137 UTC","2448487.8532754530 JD UTC"
"1991-09-15 16:09:17.988295 UTC","2448515.1731248647 JD UTC"
"1991-10-13 00:06:01.419209 UTC","2448542.5041830926 JD UTC"
"1991-11-09 07:38:05.769059 UTC","2448569.8181223270 JD UTC"
"1991-12-06 14:22:05.926850 UTC","2448597.0986797090 JD UTC"
"1992-01-02 20:26:27.000062 UTC","2448624.3517013895 JD UTC"
"1992-01-30 02:30:07.425874 UTC","2448651.6042526140 JD UTC"
"1992-02-26 09:20:11.551259 UTC","2448678.8890225840 JD UTC"
"1992-03-24 17:12:43.763859 UTC","2448706.2171731927 JD UTC"
"1992-04-21 01:36:18.251472 UTC","2448733.5668779104 JD UTC"
"1992-05-18 09:39:25.874960 UTC","2448760.9023828120 JD UTC"
"1992-06-14 16:48:25.076342 UTC","2448788.2002902350 JD UTC"
"1992-07-11 23:05:14.021178 UTC","2448815.4619678375 JD UTC"
