"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-26 11:42:03.714172 UTC to 1980-01-26 11:42:03.714172 UTC", ... , "2080-12-12 01:39:30.015470 UTC to 2080-12-12 01:39:30.015470 UTC"], items=1355"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1986-01-11 14:45:33.256282 UTC","2446442.1149682440 JD UTC"
"1986-02-07 20:06:45.323422 UTC","2446469.3380245767 JD UTC"
"1986-03-06 23:55:31.641757 UTC","2446496.4968940020 JD UTC"
"1986-04-03 03:41:20.083718 UTC","2446523.6537046726 JD UTC"
"1986-04-30 08:48:20.953896 UTC","2446550.8669091887 JD UTC"
"1986-05-27 15:27:51.639339 UTC","2446578.1443476775 JD UTC"
"1986-06-23 22:42:41.052082 UTC","2446605.4463084730 JD UTC"
"1986-07-21 05:25:10.040638 UTC","2446632.7258106554 JD UTC"
"1986-08-17 11:02:42.141925 UTC","2446659.9602099760 JD UTC"
"1986-09-13 15:44:05.386630 UTC","2446687.1556179007 JD UTC"
"1986-10-10 20:10:40.522222 UTC","2446714.3407467850 JD UTC"
"1986-11-07 01:20:57.456667 UTC","2446741.5562205630 JD UTC"
"1986-12-04 07:49:06.278181 UTC","2446768.8257671087 JD UTC"
"1986-12-31 15:10:12.774059 UTC","2446796.1320922924 JD UTC"
"1987-01-27 22:21:49.301568 UTC","2446823.4318206200 JD UTC"
"1987-02-24 04:32:03.908182 UTC","2446850.6889341227 JD UTC"
"1987-03-23 09:34:30.150913 UTC","2446877.8989600800 JD UTC"
"1987-04-19 14:13:14.570573 UTC","2446905.0925297520 JD UTC"
"1987-05-16 19:22:16.761289 UTC","2446932.3071384407 JD UTC"
"1987-06-13 01:24:23.823605 UTC","2446959.5586090693 JD UTC"
"1987-07-10 08:11:11.038402 UTC","2446986.8410999817 JD UTC"
"1987-08-06 15:13:38.268724 UTC","2447014.1344707026 JD UTC"
"1987-09-02 21:45:16.940804 UTC","2447041.4064460740 JD UTC"
"1987-09-30 03:05:58.916308 UTC","2447068.6291541240 JD UTC"
"1987-10-27 07:25:13.406319 UTC","2447095.8091829433 JD UTC"
"1987-11-23 11:49:25.033390 UTC","2447122.9926508493 JD UTC"
"1987-12-20 17:28:45.703799 UTC","2447150.2283067570 JD UTC"
"1988-01-17 00:36:27.522823 UTC","2447177.5253185513 JD UTC"
"1988-02-13 08:10:13.612584 UTC","2447204.8404353308 JD UTC"
"1988-03-11 14:38:28.628967 UTC","2447232.1100535760 JD UTC"
"1988-04-07 19:20:28.270091 UTC","2447259.3058827557 JD UTC"
"1988-05-04 22:55:36.916774 UTC","2447286.4552883888 JD UTC"
"1988-06-01 02:45:19.255205 UTC","2447313.6148061943 JD UTC"
"1988-06-28 07:58:40.939623 UTC","2447340.8324182825 JD UTC"
"1988-07-25 14:47:51.566168 UTC","2447368.1165690530 JD UTC"
"1988-08-21 22:10:39.789598 UTC","2447395.4240716390 JD UTC"
"1988-09-18 04:25:45.354986 UTC","2447422.6845527200 JD UTC"
"1988-10-15 08:30:12.199904 UTC","2447449.8543078694 JD UTC"
"1988-11-11 11:03:18.162433 UTC","2447476.9606268800 JD UTC"
"1988-12-08 14:07:13.925502 UTC","2447504.0883556195 JD UTC"
"1989-01-04 19:23:49.475900 UTC","2447531.3082115270 JD UTC"
"1989-02-01 02:38:15.286486 UTC","2447558.6098991493 JD UTC"
"1989-02-28 09:49:45.156787 UTC","2447585.9095504256 JD UTC"
"1989-03-27 14:59:13.418354 UTC","2447613.1244608606 JD UTC"
"1989-04-23 17:45:30.811003 UTC","2447640.2399399420 JD UTC"
"1989-05-20 19:36:13.010452 UTC","2447667.3168172506 JD UTC"
"1989-06-16 22:37:53.242449 UTC","2447694.4429773430 JD UTC"
"1989-07-14 03:59:17.548062 UTC","2447721.6661753250 JD UTC"
"1989-08-10 11:00:33.240442 UTC","2447748.9587180605 JD UTC"
"1989-09-06 17:42:17.190195 UTC","2447776.2376989606 JD UTC"
"1989-10-03 22:09:47.300424 UTC","2447803.4234641255 JD UTC"
"1989-10-31 00:05:30.155367 UTC","2447830.5038212426 JD UTC"
"1989-11-27 01:19:32.390968 UTC","2447857.5552360066 JD UTC"
"1989-12-24 04:24:37.799673 UTC","2447884.6837708293 JD UTC"
"1990-01-20 10:18:06.317614 UTC","2447911.9292397870 JD UTC"
"1990-02-16 17:31:32.716304 UTC","2447939.2302397722 JD UTC"
"1990-03-15 23:32:09.750895 UTC","2447966.4806684130 JD UTC"
"1990-04-12 02:51:20.159630 UTC","2447993.6189833293 JD UTC"
"1990-05-09 04:14:47.806137 UTC","2448020.6769422010 JD UTC"
"1990-06-05 05:59:58.980311 UTC","2448047.7499881980 JD UTC"
"1990-07-02 09:59:47.014831 UTC","2448074.9165163753 JD UTC"
"1990-07-29 16:19:06.291704 UTC","2448102.1799339317 JD UTC"
"1990-08-25 23:21:03.500017 UTC","2448129.4729571760 JD UTC"
"1990-09-22 04:57:59.804134 UTC","2448156.7069421774 JD UTC"
"1990-10-19 08:03:28.396488 UTC","2448183.8357453295 JD UTC"
"1990-11-15 09:32:24.830797 UTC","2448210.8975096160 JD UTC"
"1990-12-12 11:46:46.048050 UTC","2448237.9908107410 JD UTC"
"1991-01-08 16:37:13.908688 UTC","2448265.1925220913 JD UTC"
"1991-02-04 23:45:24.430984 UTC","2448292.4898660993 JD UTC"
"1991-03-04 06:59:10.492381 UTC","2448319.7910936620 JD UTC"
"1991-03-31 12:10:58.851042 UTC","2448347.0076255905 JD UTC"
"1991-04-27 15:06:11.981209 UTC","2448374.1293053380 JD UTC"
"1991-05-24 17:23:14.122854 UTC","2448401.2244690144 JD UTC"
"1991-06-20 21:00:51.715830 UTC","2448428.3755985630 JD UTC"
"1991-07-18 02:48:06.541481 UTC","2448455.6167423780 JD UTC"
"1991-08-14 09:59:30.640155 UTC","2448482.9163268534 JD UTC"
"1991-09-10 16:55:08.754711 UTC","2448510.2049624390 JD UTC"
"1991-10-07 22:12:21.346095 UTC","2448537.4252470610 JD UTC"
"1991-11-04 01:45:24.472285 UTC","2448564.5731999106 JD UTC"
"1991-12-01 04:51:04.312462 UTC","2448591.7021332460 JD UTC"
"1991-12-28 09:15:29.082595 UTC","2448618.8857532707 JD UTC"
"1992-01-24 15:48:12.164014 UTC","2448646.1584741203 JD UTC"
"1992-02-20 23:30:29.757776 UTC","2448673.4795110854 JD UTC"
"1992-03-19 06:31:50.608194 UTC","2448700.7721135207 JD UTC"
"1992-04-15 11:52:57.871545 UTC","2448727.9951142540 JD UTC"
"1992-05-12 16:00:16.876619 UTC","2448755.1668619980 JD UTC"
"1992-06-08 20:06:34.433396 UTC","2448782.3378985347 JD UTC"
"1992-07-06 01:14:55.062902 UTC","2448809.5520261910 JD UTC"
"1992-08-02 07:39:44.756879 UTC","2448836.8192680194 JD UTC"
"1992-08-29 14:45:02.788693 UTC","2448864.1146156100 JD UTC"
