"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-20 01:53:12.959537 UTC to 1980-01-20 01:53:12.959537 UTC", ... , "2080-12-28 06:49:43.458973 UTC to 2080-12-28 06:49:43.458973 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1986-02-04 16:12:39.613658 UTC","2446466.1754584913 JD UTC"
"1986-03-01 09:30:46.030952 UTC","2446490.8963660990 JD UTC"
"1986-03-28 13:52:29.540578 UTC","2446518.0781196826 JD UTC"
"1986-04-25 17:39:49.648792 UTC","2446546.2359913057 JD UTC"
"1986-05-24 03:00:14.789168 UTC","2446574.6251711710 JD UTC"
"1986-06-21 12:47:36.947668 UTC","2446603.0330665237 JD UTC"
"1986-07-19 19:30:31.169447 UTC","2446631.3128607576 JD UTC"
"1986-08-16 16:38:06.752299 UTC","2446659.1931337070 JD UTC"
"1986-09-12 00:04:33.929346 UTC","2446685.5031704786 JD UTC"
"1986-10-07 09:51:13.958611 UTC","2446710.9105782250 JD UTC"
"1986-11-04 02:29:10.104004 UTC","2446738.6035891670 JD UTC"
"1986-12-02 10:30:49.960773 UTC","2446766.9380782500 JD UTC"
"1986-12-30 23:14:21.726293 UTC","2446795.4683070173 JD UTC"
"1987-01-28 11:11:00.533811 UTC","2446823.9659784010 JD UTC"
"1987-02-25 15:53:04.785805 UTC","2446852.1618609470 JD UTC"
"1987-03-24 19:03:32.401171 UTC","2446879.2941250135 JD UTC"
"1987-04-18 16:34:40.358998 UTC","2446904.1907448960 JD UTC"
"1987-05-15 22:33:25.229778 UTC","2446931.4398753447 JD UTC"
"1987-06-13 01:13:14.945989 UTC","2446959.5508674304 JD UTC"
"1987-07-11 09:39:15.470894 UTC","2446987.9022623950 JD UTC"
"1987-08-08 19:18:51.659748 UTC","2447016.3047645804 JD UTC"
"1987-09-06 02:41:47.140790 UTC","2447044.6123511666 JD UTC"
"1987-10-04 00:34:47.336212 UTC","2447072.5241589840 JD UTC"
"1987-10-30 02:36:46.335201 UTC","2447098.6088696206 JD UTC"
"1987-11-24 14:48:28.746443 UTC","2447124.1169993803 JD UTC"
"1987-12-22 11:11:32.944725 UTC","2447151.9663535270 JD UTC"
"1988-01-19 20:51:08.112066 UTC","2447180.3688438900 JD UTC"
"1988-02-17 09:42:02.976841 UTC","2447208.9042011210 JD UTC"
"1988-03-16 20:26:48.484506 UTC","2447237.3519500520 JD UTC"
"1988-04-13 22:48:28.602572 UTC","2447265.4503310480 JD UTC"
"1988-05-10 22:28:40.702967 UTC","2447292.4365822105 JD UTC"
"1988-06-04 23:44:05.410451 UTC","2447317.4889515100 JD UTC"
"1988-07-02 05:39:47.364265 UTC","2447344.7359648640 JD UTC"
"1988-07-30 07:56:43.406080 UTC","2447372.8310579406 JD UTC"
"1988-08-27 16:48:39.158988 UTC","2447401.2004532292 JD UTC"
"1988-09-25 03:36:10.244231 UTC","2447429.6501185675 JD UTC"
"1988-10-23 12:19:02.364307 UTC","2447458.0132218090 JD UTC"
"1988-11-20 10:28:30.029279 UTC","2447485.9364586724 JD UTC"
"1988-12-16 03:47:07.125451 UTC","2447511.6577213593 JD UTC"
"1989-01-10 22:45:52.826052 UTC","2447537.4485280793 JD UTC"
"1989-02-07 21:58:05.557040 UTC","2447565.4153420953 JD UTC"
"1989-03-08 07:50:57.700987 UTC","2447593.8270567246 JD UTC"
"1989-04-05 19:33:17.443577 UTC","2447622.3147852267 JD UTC"
"1989-05-04 04:33:06.433863 UTC","2447650.6896577994 JD UTC"
"1989-06-01 05:17:44.510085 UTC","2447678.7206540518 JD UTC"
"1989-06-28 04:24:12.549977 UTC","2447705.6834785880 JD UTC"
"1989-07-23 06:58:22.343987 UTC","2447730.7905363888 JD UTC"
"1989-08-19 12:29:54.300444 UTC","2447758.0207673660 JD UTC"
"1989-09-16 15:18:17.720447 UTC","2447786.1377050980 JD UTC"
"1989-10-15 01:18:04.211617 UTC","2447814.5542154120 JD UTC"
"1989-11-12 13:18:42.863026 UTC","2447843.0546627664 JD UTC"
"1989-12-10 22:35:16.890434 UTC","2447871.4411677130 JD UTC"
"1990-01-07 18:52:25.843129 UTC","2447899.2864102214 JD UTC"
"1990-02-02 02:42:16.817929 UTC","2447924.6126946520 JD UTC"
"1990-02-28 08:05:00.796196 UTC","2447950.8368147710 JD UTC"
"1990-03-28 08:07:21.174288 UTC","2447978.8384395170 JD UTC"
"1990-04-25 16:50:26.269443 UTC","2448007.2016929330 JD UTC"
"1990-05-24 03:01:20.777535 UTC","2448035.6259349254 JD UTC"
"1990-06-21 10:54:18.917131 UTC","2448063.9543856150 JD UTC"
"1990-07-19 11:16:52.312393 UTC","2448091.9700499120 JD UTC"
"1990-08-15 10:07:54.521575 UTC","2448118.9221588145 JD UTC"
"1990-09-09 11:13:06.649559 UTC","2448143.9674380740 JD UTC"
"1990-10-06 18:28:35.165742 UTC","2448171.2698514555 JD UTC"
"1990-11-03 23:08:02.674740 UTC","2448199.4639198463 JD UTC"
"1990-12-02 10:49:17.473676 UTC","2448227.9508966860 JD UTC"
"1990-12-30 23:48:41.132924 UTC","2448256.4921427420 JD UTC"
"1991-01-28 08:33:51.348426 UTC","2448284.8568443106 JD UTC"
"1991-02-25 01:14:16.818554 UTC","2448312.5515835480 JD UTC"
"1991-03-22 04:36:33.239866 UTC","2448337.6920513874 JD UTC"
"1991-04-17 17:06:02.563182 UTC","2448364.2125296663 JD UTC"
"1991-05-15 16:40:38.884872 UTC","2448392.1948945010 JD UTC"
"1991-06-13 00:23:48.883073 UTC","2448420.5165379983 JD UTC"
"1991-07-11 10:04:01.668436 UTC","2448448.9194637550 JD UTC"
"1991-08-08 18:11:16.832806 UTC","2448477.2578337130 JD UTC"
"1991-09-05 19:27:45.309768 UTC","2448505.3109410850 JD UTC"
"1991-10-02 18:01:02.719960 UTC","2448532.2507259254 JD UTC"
"1991-10-27 15:41:26.403676 UTC","2448557.1537778205 JD UTC"
"1991-11-24 02:24:20.924049 UTC","2448584.6002421766 JD UTC"
"1991-12-22 09:25:09.064396 UTC","2448612.8924660230 JD UTC"
"1992-01-19 22:13:24.406169 UTC","2448641.4259769230 JD UTC"
"1992-02-17 10:49:34.279575 UTC","2448669.9510911987 JD UTC"
"1992-03-16 17:40:15.485968 UTC","2448698.2362903470 JD UTC"
"1992-04-13 06:53:25.091588 UTC","2448725.7870959677 JD UTC"
"1992-05-08 11:40:33.072075 UTC","2448750.9864938897 JD UTC"
"1992-06-04 01:59:43.538789 UTC","2448777.5831428100 JD UTC"
"1992-07-02 00:32:36.882800 UTC","2448805.5226491066 JD UTC"
"1992-07-30 07:44:27.174208 UTC","2448833.8225367386 JD UTC"
"1992-08-27 17:37:33.945864 UTC","2448862.2344206697 JD UTC"
"1992-09-25 02:34:58.502657 UTC","2448890.6076215585 JD UTC"
"1992-10-23 04:43:02.742016 UTC","2448918.6965595140 JD UTC"
"1992-11-19 00:00:45.662326 UTC","2448945.5005284990 JD UTC"
"1992-12-13 21:05:23.274588 UTC","2448970.3787416040 JD UTC"
"1993-01-10 12:10:28.634805 UTC","2448998.0072758660 JD UTC"
"1993-02-07 20:21:20.579298 UTC","2449026.3481548530 JD UTC"
"1993-03-08 08:33:31.077653 UTC","2449054.8566096950 JD UTC"
