"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-13 18:38:11.018429 UTC to 1980-01-13 18:38:11.018429 UTC", ... , "2080-12-26 05:05:01.003099 UTC to 2080-12-26 05:05:01.003099 UTC"], items=1356"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1985-12-29 19:41:03.839487 UTC","2446429.3201833274 JD UTC"
"1986-01-25 22:05:36.252966 UTC","2446456.4205584833 JD UTC"
"1986-02-22 02:20:09.510202 UTC","2446483.5973322940 JD UTC"
"1986-03-21 08:52:08.622925 UTC","2446510.8695442467 JD UTC"
"1986-04-17 16:11:41.848604 UTC","2446538.1747899144 JD UTC"
"1986-05-14 22:12:07.866763 UTC","2446565.4250910506 JD UTC"
"1986-06-11 01:46:35.367488 UTC","2446592.5740204570 JD UTC"
"1986-07-08 03:34:44.199553 UTC","2446619.6491226800 JD UTC"
"1986-08-04 05:36:00.505218 UTC","2446646.7333391807 JD UTC"
"1986-08-31 09:42:17.298314 UTC","2446673.9043668790 JD UTC"
"1986-09-27 16:09:24.046785 UTC","2446701.1731949860 JD UTC"
"1986-10-24 23:19:04.833631 UTC","2446728.4715837226 JD UTC"
"1986-11-21 04:49:19.814365 UTC","2446755.7009237770 JD UTC"
"1986-12-18 07:30:26.217916 UTC","2446782.8128034480 JD UTC"
"1987-01-14 08:36:43.411068 UTC","2446809.8588357763 JD UTC"
"1987-02-10 10:48:44.564556 UTC","2446836.9505157936 JD UTC"
"1987-03-09 15:45:56.805661 UTC","2446864.1569074728 JD UTC"
"1987-04-05 22:43:20.444371 UTC","2446891.4467644026 JD UTC"
"1987-05-03 05:23:13.304992 UTC","2446918.7244595485 JD UTC"
"1987-05-30 09:49:27.081582 UTC","2446945.9093412220 JD UTC"
"1987-06-26 11:52:14.874735 UTC","2446972.9946166060 JD UTC"
"1987-07-23 13:12:44.743267 UTC","2447000.0505178617 JD UTC"
"1987-08-19 16:03:46.175628 UTC","2447027.1692844400 JD UTC"
"1987-09-15 21:28:28.639534 UTC","2447054.3947759205 JD UTC"
"1987-10-13 04:34:56.572558 UTC","2447081.6909325530 JD UTC"
"1987-11-09 11:12:46.000386 UTC","2447108.9671990788 JD UTC"
"1987-12-06 15:30:07.141259 UTC","2447136.1459159870 JD UTC"
"1988-01-02 17:31:56.569616 UTC","2447163.2305158520 JD UTC"
"1988-01-29 19:25:29.051987 UTC","2447190.3093640280 JD UTC"
"1988-02-25 23:27:04.760638 UTC","2447217.4771384330 JD UTC"
"1988-03-24 06:00:25.088113 UTC","2447244.7502903715 JD UTC"
"1988-04-20 13:24:50.264779 UTC","2447272.0589151015 JD UTC"
"1988-05-17 19:31:18.627755 UTC","2447299.3134100433 JD UTC"
"1988-06-13 23:25:36.814917 UTC","2447326.4761205430 JD UTC"
"1988-07-11 01:59:05.190254 UTC","2447353.5826989613 JD UTC"
"1988-08-07 04:59:19.736946 UTC","2447380.7078673257 JD UTC"
"1988-09-03 09:50:59.887487 UTC","2447407.9104153644 JD UTC"
"1988-09-30 16:39:52.517125 UTC","2447435.1943578370 JD UTC"
"1988-10-28 00:08:48.853773 UTC","2447462.5061209930 JD UTC"
"1988-11-24 06:33:00.049770 UTC","2447489.7729172427 JD UTC"
"1988-12-21 11:02:37.867167 UTC","2447516.9601604994 JD UTC"
"1989-01-17 14:24:09.260461 UTC","2447544.1001071814 JD UTC"
"1989-02-13 18:22:51.380306 UTC","2447571.2658724570 JD UTC"
"1989-03-13 00:12:45.321473 UTC","2447598.5088578872 JD UTC"
"1989-04-09 07:29:31.465230 UTC","2447625.8121697363 JD UTC"
"1989-05-06 14:43:36.683441 UTC","2447653.1136190210 JD UTC"
"1989-06-02 20:46:13.819873 UTC","2447680.3654377300 JD UTC"
"1989-06-30 01:31:37.957185 UTC","2447707.5636337637 JD UTC"
"1989-07-27 05:42:42.092354 UTC","2447734.7379871802 JD UTC"
"1989-08-23 10:19:43.729756 UTC","2447761.9303672425 JD UTC"
"1989-09-19 16:06:50.702809 UTC","2447789.1714201714 JD UTC"
"1989-10-16 23:02:58.144579 UTC","2447816.4603951920 JD UTC"
"1989-11-13 06:22:57.598985 UTC","2447843.7659444325 JD UTC"
"1989-12-10 13:09:23.727003 UTC","2447871.0481912848 JD UTC"
"1990-01-06 18:46:02.986729 UTC","2447898.2819790132 JD UTC"
"1990-02-02 23:27:12.461531 UTC","2447925.4772275640 JD UTC"
"1990-03-02 04:16:19.307091 UTC","2447952.6780012394 JD UTC"
"1990-03-29 10:04:07.687103 UTC","2447979.9195334157 JD UTC"
"1990-04-25 16:46:11.951227 UTC","2448007.1987494356 JD UTC"
"1990-05-22 23:46:41.668934 UTC","2448034.4907600572 JD UTC"
"1990-06-19 06:25:54.702709 UTC","2448061.7679942440 JD UTC"
"1990-07-16 12:12:06.539837 UTC","2448089.0084090260 JD UTC"
"1990-08-12 17:00:50.671243 UTC","2448116.2089198060 JD UTC"
"1990-09-08 21:27:45.892370 UTC","2448143.3942811615 JD UTC"
"1990-10-06 02:30:28.615073 UTC","2448170.6044978597 JD UTC"
"1990-11-02 08:50:33.519262 UTC","2448197.8684435100 JD UTC"
"1990-11-29 16:18:13.594391 UTC","2448225.1793240090 JD UTC"
"1990-12-26 23:40:45.086322 UTC","2448252.4866329436 JD UTC"
"1991-01-23 05:33:58.166579 UTC","2448279.7319232244 JD UTC"
"1991-02-19 09:47:01.766493 UTC","2448306.9076593346 JD UTC"
"1991-03-18 13:31:02.132021 UTC","2448334.0632191207 JD UTC"
"1991-04-14 18:09:29.750186 UTC","2448361.2565943310 JD UTC"
"1991-05-12 00:20:17.767808 UTC","2448388.5140945350 JD UTC"
"1991-06-08 07:33:44.149844 UTC","2448415.8150943270 JD UTC"
"1991-07-05 14:29:25.254083 UTC","2448443.1037645150 JD UTC"
"1991-08-01 19:50:49.839669 UTC","2448470.3269657367 JD UTC"
"1991-08-28 23:23:35.687070 UTC","2448497.4747186005 JD UTC"
"1991-09-25 02:15:48.252344 UTC","2448524.5943084764 JD UTC"
"1991-10-22 06:17:18.388222 UTC","2448551.7620183820 JD UTC"
"1991-11-18 12:32:23.712009 UTC","2448579.0224966668 JD UTC"
"1991-12-15 20:10:38.231345 UTC","2448606.3407202703 JD UTC"
"1992-01-12 02:57:42.083613 UTC","2448633.6234037457 JD UTC"
"1992-02-08 07:15:04.165548 UTC","2448660.8021315457 JD UTC"
"1992-03-06 09:29:00.190337 UTC","2448687.8951410917 JD UTC"
"1992-04-02 11:42:40.614641 UTC","2448714.9879700770 JD UTC"
"1992-04-29 15:51:11.582302 UTC","2448742.1605507210 JD UTC"
"1992-05-26 22:12:21.561472 UTC","2448769.4252495540 JD UTC"
"1992-06-23 05:20:35.049191 UTC","2448796.7226278842 JD UTC"
"1992-07-20 11:14:18.337997 UTC","2448823.9682678008 JD UTC"
"1992-08-16 14:41:44.924264 UTC","2448851.1123255123 JD UTC"
"1992-09-12 16:18:27.089232 UTC","2448878.1794801992 JD UTC"
"1992-10-09 18:12:55.054862 UTC","2448905.2589705423 JD UTC"
"1992-11-05 22:27:22.225706 UTC","2448932.4356739090 JD UTC"
"1992-12-03 05:08:28.613103 UTC","2448959.7142200590 JD UTC"
"1992-12-30 12:15:22.963077 UTC","2448987.0106824430 JD UTC"
"1993-01-26 17:20:15.838299 UTC","2449014.2224055360 JD UTC"
"1993-02-22 19:35:58.062479 UTC","2449041.3166442416 JD UTC"
"1993-03-21 20:39:35.070875 UTC","2449068.3608225794 JD UTC"
"1993-04-17 23:05:38.025444 UTC","2449095.4622456650 JD UTC"
"1993-05-15 04:11:45.701440 UTC","2449122.6748345075 JD UTC"
"1993-06-11 11:06:27.270720 UTC","2449149.9628156335 JD UTC"
"1993-07-08 17:42:30.487841 UTC","2449177.2378528686 JD UTC"
"1993-08-04 22:11:32.229066 UTC","2449204.4246785770 JD UTC"
"1993-09-01 00:21:06.651212 UTC","2449231.5146603150 JD UTC"
"1993-09-28 01:49:37.869539 UTC","2449258.5761327490 JD UTC"
"1993-10-25 04:53:23.983328 UTC","2449285.7037498070 JD UTC"
"1993-11-21 10:36:38.983204 UTC","2449312.9421178610 JD UTC"
"1993-12-18 17:56:42.973321 UTC","2449340.2477195985 JD UTC"
"1994-01-15 00:30:37.498172 UTC","2449367.5212673400 JD UTC"
"1994-02-11 04:34:45.392118 UTC","2449394.6908031497 JD UTC"
"1994-03-10 06:38:46.516058 UTC","2449421.7769272690 JD UTC"
"1994-04-06 08:56:23.850602 UTC","2449448.8724982710 JD UTC"
"1994-05-03 13:22:20.055990 UTC","2449476.0571765740 JD UTC"
"1994-05-30 20:01:22.408677 UTC","2449503.3342871373 JD UTC"
"1994-06-27 03:20:39.903036 UTC","2449530.6393507295 JD UTC"
"1994-07-24 09:30:22.105761 UTC","2449557.8960891870 JD UTC"
"1994-08-20 13:42:05.489605 UTC","2449585.0708968705 JD UTC"
"1994-09-16 16:37:31.738225 UTC","2449612.1927284515 JD UTC"
"1994-10-13 19:54:47.068006 UTC","2449639.3297114354 JD UTC"
"1994-11-10 01:00:11.724587 UTC","2449666.5418023680 JD UTC"
"1994-12-07 08:03:08.188059 UTC","2449693.8355114358 JD UTC"
"1995-01-03 15:40:00.788174 UTC","2449721.1527869003 JD UTC"
"1995-01-30 22:02:24.559884 UTC","2449748.4183398136 JD UTC"
"1995-02-27 02:32:53.304577 UTC","2449775.6061725067 JD UTC"
"1995-03-26 06:09:37.566290 UTC","2449802.7566847950 JD UTC"
"1995-04-22 10:28:33.098793 UTC","2449829.9364941990 JD UTC"
"1995-05-19 16:22:28.814709 UTC","2449857.1822779480 JD UTC"
"1995-06-15 23:26:09.453557 UTC","2449884.4764983050 JD UTC"
"1995-07-13 06:31:59.902425 UTC","2449911.7722210930 JD UTC"
"1995-08-09 12:46:46.530510 UTC","2449939.0324829920 JD UTC"
"1995-09-05 17:57:10.905732 UTC","2449966.2480428903 JD UTC"
"1995-10-02 22:26:29.673757 UTC","2449993.4350656685 JD UTC"
"1995-10-30 03:06:56.411846 UTC","2450020.6298195818 JD UTC"
"1995-11-26 08:53:00.143317 UTC","2450047.8701405480 JD UTC"
"1995-12-23 15:52:40.231647 UTC","2450075.1615767553 JD UTC"
"1996-01-19 23:17:13.022435 UTC","2450102.4702896117 JD UTC"
"1996-02-16 06:04:00.822160 UTC","2450129.7527872934 JD UTC"
"1996-03-14 11:40:06.612224 UTC","2450156.9861876415 JD UTC"
"1996-04-10 16:24:36.267470 UTC","2450184.1837530956 JD UTC"
"1996-05-07 21:11:26.563396 UTC","2450211.3829463357 JD UTC"
"1996-06-04 02:42:21.868447 UTC","2450238.6127531070 JD UTC"
"1996-07-01 09:05:46.290371 UTC","2450265.8790079905 JD UTC"
"1996-07-28 16:04:51.960062 UTC","2450293.1700458340 JD UTC"
"1996-08-24 23:01:06.531963 UTC","2450320.4591033794 JD UTC"
"1996-09-21 05:03:41.329224 UTC","2450347.7108950140 JD UTC"
"1996-10-18 09:49:27.971801 UTC","2450374.9093515254 JD UTC"
"1996-11-14 13:59:00.110794 UTC","2450402.0826401710 JD UTC"
"1996-12-11 18:51:06.713499 UTC","2450429.2854943690 JD UTC"
"1997-01-08 01:15:03.759542 UTC","2450456.5521268467 JD UTC"
"1997-02-04 08:45:57.378774 UTC","2450483.8652474396 JD UTC"
"1997-03-03 15:57:42.545410 UTC","2450511.1650757570 JD UTC"
"1997-03-30 21:34:43.400658 UTC","2450538.3991134334 JD UTC"
"1997-04-27 01:35:07.155675 UTC","2450565.5660550427 JD UTC"
"1997-05-24 05:04:14.016521 UTC","2450592.7112733396 JD UTC"
"1997-06-20 09:24:43.601032 UTC","2450619.8921713084 JD UTC"
"1997-07-17 15:25:02.133608 UTC","2450647.1423858055 JD UTC"
"1997-08-13 22:42:06.748544 UTC","2450674.4459114415 JD UTC"
"1997-09-10 05:45:59.986926 UTC","2450701.7402776266 JD UTC"
"1997-10-07 11:00:46.984208 UTC","2450728.9588771320 JD UTC"
"1997-11-03 14:07:40.594303 UTC","2450756.0886642860 JD UTC"
"1997-11-30 16:36:10.238627 UTC","2450783.1917851693 JD UTC"
"1997-12-27 20:35:21.373961 UTC","2450810.3578862725 JD UTC"
"1998-01-24 02:57:37.710495 UTC","2450837.6233531306 JD UTC"
"1998-02-20 10:27:19.847704 UTC","2450864.9356463854 JD UTC"
"1998-03-19 16:49:35.235161 UTC","2450892.2011022586 JD UTC"
"1998-04-15 20:45:03.664320 UTC","2450919.3646257445 JD UTC"
"1998-05-12 22:48:14.784927 UTC","2450946.4501711220 JD UTC"
"1998-06-09 00:56:43.871574 UTC","2450973.5393966620 JD UTC"
"1998-07-06 05:00:57.346741 UTC","2451000.7089970690 JD UTC"
"1998-08-02 11:20:26.782290 UTC","2451027.9725322025 JD UTC"
"1998-08-29 18:29:37.685668 UTC","2451055.2705750656 JD UTC"
"1998-09-26 00:17:45.081648 UTC","2451082.5123273340 JD UTC"
"1998-10-23 03:25:40.013575 UTC","2451109.6428242310 JD UTC"
"1998-11-19 04:40:29.002925 UTC","2451136.6947801260 JD UTC"
"1998-12-16 06:31:06.061996 UTC","2451163.7715979395 JD UTC"
